micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G04-N-100M-01-C1,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,概念辨識,正確讀寫十萬至一億並處理中間0；第二層：辨認定義、位值、單位、圖形性質或數量角色,指認、分類、判斷,混淆核心定義、類別或單位,1,G4適齡,MathAI原創語義分類
G04-N-100M-01-M1,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,操作建構,正確讀寫十萬至一億並處理中間0；第二層：以量角器、方格、數線、積木、圖形操作建立概念,操作、作圖、拖拉、量測,只套公式而未理解表徵/操作,2,G4適齡,MathAI原創語義分類
G04-N-100M-01-P1,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,標準程序,正確讀寫十萬至一億並處理中間0；第二層：依標準步驟完成直式、公式、換算、作圖或讀表,標準計算/作圖,位值、估商、公式或步驟錯誤,2,G4適齡,MathAI原創語義分類
G04-N-100M-01-V1,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,表徵轉換,正確讀寫十萬至一億並處理中間0；第二層：在文字、算式、圖形、數線、表格與實物間轉換,看圖列式、圖表/數線題,轉換時失去數量或幾何關係,3,G4適齡,MathAI原創語義分類
G04-N-100M-01-A1,G04-N-100M-01,N-4-1,大數與位值,一億以內的數,大數讀寫,情境應用,正確讀寫十萬至一億並處理中間0；第二層：在距離、時間、面積、購物、統計等情境解題,生活文字題,抓錯總量、單位量、中間量或條件,3,G4適齡,MathAI原創語義分類
G04-N-PLACE-01-C1,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,概念辨識,萬、十萬、百萬、千萬、億的位值換算；第二層：辨認定義、位值、單位、圖形性質或數量角色,指認、分類、判斷,混淆核心定義、類別或單位,1,G4適齡,MathAI原創語義分類
G04-N-PLACE-01-M1,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,操作建構,萬、十萬、百萬、千萬、億的位值換算；第二層：以量角器、方格、數線、積木、圖形操作建立概念,操作、作圖、拖拉、量測,只套公式而未理解表徵/操作,2,G4適齡,MathAI原創語義分類
G04-N-PLACE-01-P1,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,標準程序,萬、十萬、百萬、千萬、億的位值換算；第二層：依標準步驟完成直式、公式、換算、作圖或讀表,標準計算/作圖,位值、估商、公式或步驟錯誤,2,G4適齡,MathAI原創語義分類
G04-N-PLACE-01-V1,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,表徵轉換,萬、十萬、百萬、千萬、億的位值換算；第二層：在文字、算式、圖形、數線、表格與實物間轉換,看圖列式、圖表/數線題,轉換時失去數量或幾何關係,3,G4適齡,MathAI原創語義分類
G04-N-PLACE-01-A1,G04-N-PLACE-01,N-4-1,大數與位值,一億以內的數,大數位值化聚,情境應用,萬、十萬、百萬、千萬、億的位值換算；第二層：在距離、時間、面積、購物、統計等情境解題,生活文字題,抓錯總量、單位量、中間量或條件,3,G4適齡,MathAI原創語義分類
G04-N-CMP-01-C1,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,概念辨識,由最高位開始比較並排序；第二層：辨認定義、位值、單位、圖形性質或數量角色,指認、分類、判斷,混淆核心定義、類別或單位,1,G4適齡,MathAI原創語義分類
G04-N-CMP-01-M1,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,操作建構,由最高位開始比較並排序；第二層：以量角器、方格、數線、積木、圖形操作建立概念,操作、作圖、拖拉、量測,只套公式而未理解表徵/操作,2,G4適齡,MathAI原創語義分類
G04-N-CMP-01-P1,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,標準程序,由最高位開始比較並排序；第二層：依標準步驟完成直式、公式、換算、作圖或讀表,標準計算/作圖,位值、估商、公式或步驟錯誤,2,G4適齡,MathAI原創語義分類
G04-N-CMP-01-V1,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,表徵轉換,由最高位開始比較並排序；第二層：在文字、算式、圖形、數線、表格與實物間轉換,看圖列式、圖表/數線題,轉換時失去數量或幾何關係,3,G4適齡,MathAI原創語義分類
G04-N-CMP-01-A1,G04-N-CMP-01,N-4-1,大數與位值,一億以內的數,大數比較排序,情境應用,由最高位開始比較並排序；第二層：在距離、時間、面積、購物、統計等情境解題,生活文字題,抓錯總量、單位量、中間量或條件,3,G4適齡,MathAI原創語義分類
G04-N-ADDSUB-01-C1,G04-N-ADDSUB-01,N-4-1,大數與位值,一億以內的數,大數加減,概念辨識,大數直式加減與生活量應用；第二層：辨認定義、位值、單位、圖形性質或數量角色,指認、分類、判斷,混淆核心定義、類別或單位,1,G4適齡,MathAI原創語義分類
G04-N-ADDSUB-01-M1,G04-N-ADDSUB-01,N-4-1,大數與位值,一億以內的數,大數加減,操作建構,大數直式加減與生活量應用；第二層：以量角器、方格、數線、積木、圖形操作建立概念,操作、作圖、拖拉、量測,只套公式而未理解表徵/操作,2,G4適齡,MathAI原創語義分類
G04-N-ADDSUB-01-P1,G04-N-ADDSUB-01,N-4-1,大數與位值,一億以內的數,大數加減,標準程序,大數直式加減與生活量應用；第二層：依標準步驟完成直式、公式、換算、作圖或讀表,標準計算/作圖,位值、估商、公式或步驟錯誤,2,G4適齡,MathAI原創語義分類
