skill_id,prerequisites,graph_status
G04-N-100M-01,G03-N-10000-01;G03-N-PLACE-01,cross_grade_ready
G04-N-PLACE-01,G03-N-PLACE-01,cross_grade_ready
G04-N-CMP-01,,entry_skill
G04-N-ADDSUB-01,G03-N-ADD4-01;G03-N-SUB4-01,cross_grade_ready
G04-N-MUL1-01,G03-N-MUL3X1-01,cross_grade_ready
G04-N-MUL2-01,G03-N-MUL3X1-01;G02-N-MUL-TABLE-01,cross_grade_ready
G04-N-MUL4X2-01,,entry_skill
G04-N-DIV4X1-01,G03-N-DIV3X1-01,cross_grade_ready
G04-N-DIV2X2-01,G03-N-DIV2X1-01;G02-N-MUL-TABLE-01,cross_grade_ready
G04-N-DIV4X2-01,,entry_skill
G04-N-MULDIV-APP-01,G03-N-MUL-APP-01;G03-N-DIV-APP-01,cross_grade_ready
G04-N-2STEP-MULADD-01,G03-N-2STEP-01,cross_grade_ready
G04-N-2STEP-DIV-01,G03-N-2STEP-02;G03-N-2STEP-03,cross_grade_ready
G04-R-ORDER-01,G03-N-2STEP-01;G03-N-2STEP-02,cross_grade_ready
G04-R-BRACKET-01,,entry_skill
G04-R-LAWS-01,,entry_skill
G04-N-ROUND-01,G03-N-10000-01,cross_grade_ready
G04-N-EST-01,G03-N-EST-4OPS-01;G04-N-ROUND-01,cross_grade_ready
G04-N-FRAC-TYPES-01,G03-N-FRAC-BASIC-01;G03-N-FRAC-ONE-01,cross_grade_ready
G04-N-FRAC-CONV-01,,entry_skill
G04-N-FRAC-CMP-01,,entry_skill
G04-N-FRAC-ADD-01,G03-N-FRAC-ADD-01,cross_grade_ready
G04-N-FRAC-SUB-01,G03-N-FRAC-SUB-01,cross_grade_ready
G04-N-FRAC-EQV-01,G03-N-FRAC-CMP-01,cross_grade_ready
G04-N-FRAC-DEC-01,G03-N-DEC-01;G03-N-FRAC-BASIC-01,cross_grade_ready
G04-N-DEC2-01,G03-N-DEC-PLACE-01,cross_grade_ready
G04-N-DEC2-CMP-01,G03-N-DEC-CMP-01,cross_grade_ready
G04-N-DEC2-ADD-01,G03-N-DEC-ADD-01,cross_grade_ready
G04-N-DEC2-SUB-01,G03-N-DEC-SUB-01,cross_grade_ready
G04-N-DECMULINT-01,,entry_skill
G04-N-NUMBERLINE-01,G03-N-FRAC-NUMBERLINE-01,cross_grade_ready
G04-N-NUMBERLINE-02,G03-N-DEC-NUMBERLINE-01,cross_grade_ready
G04-N-KM-01,G03-N-MM-CONV-01,cross_grade_ready
G04-N-KM-CONV-01,,entry_skill
G04-N-KM-APP-01,,entry_skill
G04-S-DEGREE-01,G03-S-RIGHT-01;G03-S-ACUTEOBTUSE-01,cross_grade_ready
G04-S-MEASURE-01,G04-S-DEGREE-01,internal_ready
G04-S-ANGLECALC-01,,entry_skill
G04-S-ROTATE-01,,entry_skill
G04-S-PERP-01,G03-S-RECT-01;G04-S-MEASURE-01,cross_grade_ready
G04-S-PARALLEL-01,,entry_skill
G04-S-CONGRUENT-01,G03-S-OPERATE-01,cross_grade_ready
G04-S-CONGRUENT-MAP-01,,entry_skill
G04-S-TRI-CLASS-01,G03-S-ACUTEOBTUSE-01,cross_grade_ready
G04-S-TRI-ANGLE-01,,entry_skill
G04-S-QUAD-01,G03-S-RECT-01,cross_grade_ready
G04-S-QUAD-REL-01,,entry_skill
G04-N-M2-01,G03-N-CM2-01,cross_grade_ready
G04-S-RECTAREA-01,G03-N-CM2-MUL-01;G03-S-RECT-01,cross_grade_ready
G04-S-SQUAREAREA-01,,entry_skill
G04-S-PERIM-01,G03-S-PERIM-01,cross_grade_ready
G04-S-AREA-REVERSE-01,,entry_skill
G04-S-COMPOSITE-AREA-01,,entry_skill
G04-N-CM3-01,G03-S-OPERATE-01,cross_grade_ready
G04-N-CM3-COUNT-01,,entry_skill
G04-N-CM3-HIDDEN-01,,entry_skill
G04-N-TIMEADD-01,G03-N-TIMEUNIT-01;G03-N-TIMECALC-01,cross_grade_ready
G04-N-TIMESUB-01,G03-N-TIMECALC-01;G03-N-ELAPSED-01,cross_grade_ready
G04-N-TIMEAPP-01,,entry_skill
G04-R-PATTERN-01,G03-R-PATTERN-01;G03-R-PATTERN-02,cross_grade_ready
G04-R-PERIOD-01,,entry_skill
G04-R-TABLE-01,,entry_skill
G04-D-BAR-01,G03-D-1WAY-01;G03-D-TABLE-APP-01,cross_grade_ready
G04-D-BAR-DRAW-01,,entry_skill
G04-D-LINE-READ-01,G03-D-2WAY-01;G03-D-TABLE-APP-01,cross_grade_ready
G04-D-LINE-DRAW-01,,entry_skill
G04-D-CHART-CHOICE-01,,entry_skill
