skill_id,prerequisites,graph_status
G06-N-PRIME-01,G05-N-FACTOR-01;G05-N-MULTIPLE-01,ready
G06-N-PRIME-02,G06-N-PRIME-01;G05-N-FACTOR-01,ready
G06-N-PRIME-03,G06-N-PRIME-02;G05-N-GCF-01;G05-N-LCM-01,ready
G06-N-COPRIME-01,G06-N-PRIME-01;G05-N-GCF-01,ready
G06-N-GCF-01,G06-N-PRIME-03;G05-N-GCF-01,ready
G06-N-LCM-01,G06-N-PRIME-03;G05-N-LCM-01,ready
G06-N-GCFLCM-APP-01,G06-N-GCF-01;G06-N-LCM-01,ready
G06-N-FRAC-DIV-01,G05-N-FRAC-MUL-02;G05-N-FRAC-DIVINT-01,ready
G06-N-FRAC-DIV-02,G06-N-FRAC-DIV-01;G05-N-FRAC-MUL-02,ready
G06-N-FRAC-DIV-03,G06-N-FRAC-DIV-02,ready
G06-N-DEC-DIV-01,G05-N-DEC-DIV-02;G05-N-DEC-MUL-02,ready
G06-N-DEC-DIV-02,G06-N-DEC-DIV-01;G05-N-DEC-MUL-02,ready
G06-N-DEC-DIV-03,G06-N-DEC-DIV-02;G05-N-DEC-ROUND-01,ready
G06-R-MIXED-01,G05-R-MULTISTEP-01;G05-R-LAW-01;G05-N-DEC-MUL-02;G05-N-DEC-DIV-02,ready
G06-R-MIXED-02,G05-R-MULTISTEP-01;G05-N-FRAC-MUL-02;G05-N-FRAC-DIVINT-01,ready
G06-R-MIXED-03,G06-R-MIXED-01;G06-R-MIXED-02,ready
G06-N-RATIO-01,G05-N-RATE-01;G05-N-PERCENT-01,ready
G06-N-RATIO-02,G06-N-RATIO-01;G05-N-FRAC-DIVREP-01,ready
G06-N-RATIO-03,G06-N-RATIO-02;G05-N-FRAC-EQV-01,ready
G06-N-RATIO-APP-01,G06-N-RATIO-03;G05-N-PERCENT-01,ready
G06-N-SPEED-01,G05-N-TIME-02;G05-N-RATE-01,ready
G06-N-SPEED-02,G06-N-SPEED-01;G05-R-SYMBOL-01,ready
G06-N-SPEED-03,G06-N-SPEED-02;G05-N-TIME-02,ready
G06-N-SPEED-APP-01,G06-N-SPEED-02,ready
G06-N-SPEED-APP-02,G06-N-SPEED-APP-01;G05-R-MULTISTEP-01,ready
G06-N-BASE-01,G05-N-RATE-01;G05-N-PERCENT-01,ready
G06-N-BASE-02,G06-N-BASE-01;G05-R-SYMBOL-01,ready
G06-N-BASE-03,G06-N-BASE-02;G05-R-MULTISTEP-01,ready
G06-R-PATTERN-01,G04-R-PATTERN-01;G04-R-PERIOD-01,ready
G06-R-INVARIANT-01,G05-R-LAW-01;G04-R-LAWS-01,ready
G06-R-INTERVAL-01,G04-R-PERIOD-01;G05-R-MULTISTEP-01,ready
G06-R-COUNT-01,G04-R-PATTERN-01;G05-R-MULTISTEP-01,ready
G06-R-AGES-01,G05-R-SYMBOL-01;G05-R-MULTISTEP-01,ready
G06-R-SUMDIFF-01,G05-R-SYMBOL-01;G05-R-MULTISTEP-01,ready
G06-R-CHICKEN-01,G06-R-SUMDIFF-01;G05-R-SYMBOL-01,ready
G06-R-EXPR-01,G05-R-SYMBOL-01;G05-R-LAW-01,ready
G06-S-SCALE-01,G05-S-SYM-01;G05-N-RATE-01,ready
G06-S-SCALE-02,G06-S-SCALE-01,ready
G06-S-MAPSCALE-01,G06-S-SCALE-01;G05-N-AREAUNIT-01,ready
G06-S-MAPSCALE-02,G06-S-MAPSCALE-01;G06-N-RATIO-02,ready
G06-S-PI-01,G05-S-SECTOR-01;G05-S-ANGLE-01,ready
G06-S-CIRC-01,G06-S-PI-01,ready
G06-S-ARC-01,G06-S-CIRC-01;G05-S-SECTOR-01,ready
G06-S-CIRCLEAREA-01,G06-S-PI-01;G05-S-AREA-TRI-01,ready
G06-S-SECTORAREA-01,G06-S-CIRCLEAREA-01;G05-S-SECTOR-01,ready
G06-S-COMPOSITE-AREA-01,G06-S-CIRCLEAREA-01;G06-S-SECTORAREA-01;G05-S-AREA-TRAP-01,ready
G06-S-PRISM-VOL-01,G05-S-VOLUME-01;G05-S-SOLID-01,ready
G06-S-PRISM-VOL-02,G06-S-PRISM-VOL-01;G05-N-DISPLACE-01,ready
G06-S-PRISM-SURF-01,G05-S-SURFACE-01;G05-S-SOLID-01,ready
G06-D-PIE-01,G05-D-LINE-01;G05-N-PERCENT-01,ready
G06-D-PIE-02,G06-D-PIE-01,ready
G06-D-PIE-03,G06-D-PIE-01;G05-D-LINE-02,ready
G06-D-PROB-01,G06-D-PIE-01;G05-D-LINE-01,ready
