skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,辨認20以內質數、合數及1的特殊性,2
G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,辨認某數的質因數並連結因數概念,2
G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,以短除法將合數表示為質因數乘積,3
G06-N-COPRIME-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,互質,理解最大公因數為1的兩數互質,2
G06-N-GCF-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最大公因數,用共同質因數求兩數最大公因數,3
G06-N-LCM-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,短除法求最小公倍數,以短除法整合共同與獨有質因數,3
G06-N-GCFLCM-APP-01,N-6-2,因數與倍數進階,最大公因數與最小公倍數,分組與週期應用,辨認平分型用最大公因數、重合型用最小公倍數,4
G06-N-FRAC-DIV-01,N-6-3,分數除法,分數除法概念,整數除以分數,以包含除/平均分理解整數÷分數,3
G06-N-FRAC-DIV-02,N-6-3,分數除法,分數除法概念,分數除以分數,理解除以分數等同乘其倒數並保留意義,4
G06-N-FRAC-DIV-03,N-6-3,分數除法,分數除法應用,分數除法文字題,辨認單位量、總量與份數關係,4
G06-N-DEC-DIV-01,N-6-4,小數除法,除數為小數,整數除以小數,將除數化為整數並維持商不變,3
G06-N-DEC-DIV-02,N-6-4,小數除法,除數為小數,小數除以小數,同步擴大被除數與除數後直式計算,3
G06-N-DEC-DIV-03,N-6-4,小數除法,商與概數,小數除法取概數,依題意將商取到指定數位並判斷合理性,3
G06-R-MIXED-01,N-6-5 / R-6-1,四則與規律,數系混合計算,小數四則混合,熟練小數四則運算順序與括號,3
G06-R-MIXED-02,N-6-5 / R-6-1,四則與規律,數系混合計算,分數四則混合,熟練分數四則與約分、倒數,4
G06-R-MIXED-03,N-6-5 / R-6-1,四則與規律,數系混合計算,分數小數混合,選擇適當統一表徵並完成四則計算,4
G06-N-RATIO-01,N-6-6,比與比例,比與比值,比的意義與記法,辨認前項、後項並理解同類量/異類量的比,2
G06-N-RATIO-02,N-6-6,比與比例,比與比值,比值,以除法表示比值並理解單位意義,3
G06-N-RATIO-03,N-6-6,比與比例,相等的比,等比與最簡整數比,以擴比、約比建立相等的比並化最簡,3
G06-N-RATIO-APP-01,N-6-6,比與比例,比的應用,按比分配,由總量與比求各部分量,4
G06-N-SPEED-01,N-6-7,速率,速率概念,速率的意義,理解單位時間內移動距離並讀寫速率單位,2
G06-N-SPEED-02,N-6-7,速率,距離速率時間,三量關係,運用距離=速率×時間及其逆關係,3
G06-N-SPEED-03,N-6-7,速率,速率單位,秒速分速時速換算,依時間與距離單位同步換算速率,4
G06-N-SPEED-APP-01,N-6-7,速率,速率應用,平均速率,以總距離÷總時間理解平均速率,4
G06-N-SPEED-APP-02,N-6-7 / R-6-4,速率,速率應用,相遇、相離與追趕,建立相對速率與路程關係,5
G06-N-BASE-01,N-6-8,兩量關係,基準量與比較量,辨認基準量,由語句判斷誰是1倍/100%的基準量,3
G06-N-BASE-02,N-6-8,兩量關係,基準量與比較量,比較量與倍數,用比較量=基準量×倍數表達關係,3
G06-N-BASE-03,N-6-8,兩量關係,基準量與比較量,兩量和差,處理總和/差與倍數關係的反推,4
G06-R-PATTERN-01,R-6-2,數量關係,規律與模式,數形規律,從圖形/數列找出變化規則並延伸,3
G06-R-INVARIANT-01,R-6-1 / R-6-2,數量關係,運算不變性,和差積商不變,觀察兩量同步變化下結果保持不變的條件,4
G06-R-INTERVAL-01,N-6-9 / R-6-4,數量關係,典型解題,間隔問題,區分點數與間隔數並處理封閉/不封閉情境,4
G06-R-COUNT-01,N-6-9 / R-6-4,數量關係,典型解題,搭配與組合,用系統列舉、表格或乘法原理計數,4
G06-R-AGES-01,N-6-9 / R-6-4,數量關係,典型解題,年齡問題,利用年齡差不變與時間平移建立關係,5
G06-R-SUMDIFF-01,N-6-9 / R-6-4,數量關係,典型解題,和差問題,以和、差建立兩未知量關係,4
G06-R-CHICKEN-01,N-6-9 / R-6-4,數量關係,典型解題,雙條件總量推理,以假設替換/關係式處理兩類對象總數與總量,5
G06-R-EXPR-01,R-6-3,數量關係,關係式表示,文字轉關係式,用符號表示兩量或多量關係,3
G06-S-SCALE-01,S-6-1,比例幾何,放大與縮小,放大縮小性質,理解對應角相等、對應邊成比例,3
G06-S-SCALE-02,S-6-1,比例幾何,放大與縮小,繪製放大縮小圖,按指定倍數在方格/座標上繪製,3
G06-S-MAPSCALE-01,S-6-2,比例幾何,比例尺,比例尺表示,理解數值比例尺、線段比例尺與圖上/實際距離,3
G06-S-MAPSCALE-02,S-6-2,比例幾何,比例尺,比例尺應用,求圖上距離、實際距離或比例尺,4
G06-S-PI-01,S-6-3,圓與扇形,圓周長,圓周率,理解圓周長÷直徑約為固定值,2
G06-S-CIRC-01,S-6-3,圓與扇形,圓周長,圓周長,運用直徑×圓周率或2×半徑×圓周率,3
G06-S-ARC-01,S-6-3,圓與扇形,扇形周長,扇形弧長與周長,以圓心角占360°比例求弧長,4
G06-S-CIRCLEAREA-01,S-6-3,圓與扇形,圓面積,圓面積,以分割重組理解半徑×半徑×圓周率,3
G06-S-SECTORAREA-01,S-6-3,圓與扇形,扇形面積,扇形面積,依圓心角比例求扇形面積,4
G06-S-COMPOSITE-AREA-01,S-6-3,圓與扇形,複合圖形,圓與扇形複合面積,以切割、補形與扣除處理複合面積,5
G06-S-PRISM-VOL-01,S-6-4,柱體,柱體體積,角柱與圓柱體積,理解柱體體積=底面積×高,3
G06-S-PRISM-VOL-02,S-6-4,柱體,柱體體積,複合柱體體積,拆解或補形成簡單柱體後求體積,5
G06-S-PRISM-SURF-01,S-6-4,柱體,柱體表面積,角柱與圓柱表面積,計算底面與側面總面積並處理展開圖,4
G06-D-PIE-01,D-6-1,資料,圓形圖,報讀圓形圖,由百分率/圓心角讀取部分與全體,2
G06-D-PIE-02,D-6-1,資料,圓形圖,製作圓形圖,將資料轉百分率/角度並製圖,3
G06-D-PIE-03,D-6-1,資料,統計圖應用,選圖與比較,依資料特性選折線圖、圓形圖等並做推論,4
G06-D-PROB-01,D-6-2,資料,可能性,可能性判讀,由資料或等可能情境判斷較可能/不可能,3
