micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,generation_status,naming_note
G05-N-DEC-PLACE-01-C1,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,概念辨識,兆位至千分位的位名、位值與數字結構；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-01-P1,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,標準程序,兆位至千分位的位名、位值與數字結構；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-01-R1,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,逆向求未知,兆位至千分位的位名、位值與數字結構；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-01-A1,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,情境應用,兆位至千分位的位名、位值與數字結構；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-01-V1,G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,表徵轉換,兆位至千分位的位名、位值與數字結構；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-02-C1,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,概念辨識,跨位值單位換算與十進位關係；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-02-P1,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,標準程序,跨位值單位換算與十進位關係；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-02-R1,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,逆向求未知,跨位值單位換算與十進位關係；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-02-A1,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,情境應用,跨位值單位換算與十進位關係；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-DEC-PLACE-02-V1,G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,表徵轉換,跨位值單位換算與十進位關係；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-DEC-CMP-01-C1,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,概念辨識,利用位值逐位比較大小；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-DEC-CMP-01-P1,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,標準程序,利用位值逐位比較大小；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-DEC-CMP-01-R1,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,逆向求未知,利用位值逐位比較大小；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-DEC-CMP-01-A1,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,情境應用,利用位值逐位比較大小；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-DEC-CMP-01-V1,G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,表徵轉換,利用位值逐位比較大小；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-DEC-ROUND-01-C1,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,概念辨識,指定數位四捨五入與合理估算；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G05-N-DEC-ROUND-01-P1,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,標準程序,指定數位四捨五入與合理估算；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G05-N-DEC-ROUND-01-R1,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,逆向求未知,指定數位四捨五入與合理估算；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G05-N-DEC-ROUND-01-A1,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,情境應用,指定數位四捨五入與合理估算；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G05-N-DEC-ROUND-01-V1,G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,表徵轉換,指定數位四捨五入與合理估算；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G05-N-FACTOR-01-C1,G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,概念辨識,由整除關係判斷並列出因數；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
