skill_id,prerequisites,graph_status,missing_refs
G12A-N-SEQLIM-01,G11A-F-EXPGRAPH-01;G10G-N-REC-01,ready,
G12A-N-SEQLIM-LAW-01,G12A-N-SEQLIM-01,ready,
G12A-N-SQUEEZE-01,G12A-N-SEQLIM-LAW-01,ready,
G12A-N-NEWTON-01,G12A-N-SEQLIM-01;G10G-F-CUBIC-LOCAL-01,ready,
G12A-N-E-01,G11A-F-GROWTH-01,ready,
G12A-N-INFGEOSER-01,G10G-N-GEOSUM-01;G12A-N-SEQLIM-01,ready,
G12A-N-REPEATDEC-01,,ready,
G12A-N-SIGMA-01,,ready,
G12A-N-COMPLEX-01,G10G-A-CUBICFORM-02;G11A-G-VEC-01,ready,
G12A-N-COMPLEX-OPS-01,,ready,
G12A-N-POLAR-01,G12A-N-COMPLEX-01;G11A-N-RAD-01,ready,
G12A-N-DEMOIVRE-01,G12A-N-POLAR-01;G11A-G-DOUBLE-01,ready,
G12A-N-NROOT-01,,ready,
G12A-A-CROOT-01,G12A-N-COMPLEX-OPS-01;G10G-A-FACTOR-THM-01,ready,
G12A-A-FTA-01,,ready,
G12A-A-CONJROOT-01,,ready,
G12A-G-PARABOLA-01,G10G-F-QUAD-COMPLETE-01;G10G-G-CIRCLE-EQ-01,ready,
G12A-G-ELLIPSE-01,G11A-G-VEC-01;G10G-G-CIRCLE-EQ-01,ready,
G12A-G-HYPERBOLA-01,G12A-G-ELLIPSE-01,ready,
G12A-G-CONIC-TRANS-01,G12A-G-PARABOLA-01;G12A-G-ELLIPSE-01,ready,
G12A-G-ELLIPSE-PARAM-01,,ready,
G12A-G-ROT-ELLIPSE-01,,ready,
G12A-F-FUNCOPS-01,G11A-F-EXPGRAPH-01;G11A-F-LOGGRAPH-01,ready,
G12A-F-ODDEVEN-01,,ready,
G12A-F-INVERSE-01,G12A-F-FUNCOPS-01;G11A-F-LOGGRAPH-01,ready,
G12A-F-CONCAVE-01,,ready,
G12A-F-LIMIT-01,G12A-N-SEQLIM-01;G12A-F-FUNCOPS-01,ready,
G12A-F-LIMIT-LAW-01,G12A-F-LIMIT-01,ready,
G12A-F-PIECEWISE-01,,ready,
G12A-F-CONT-01,G12A-F-LIMIT-01,ready,
G12A-F-IVT-01,G12A-F-CONT-01,ready,
G12A-F-SQUEEZE-01,,ready,
G12A-F-DERDEF-01,G12A-F-LIMIT-01;G10G-G-SLOPE-01,ready,
G12A-F-TANGENT-01,G12A-F-DERDEF-01,ready,
G12A-F-POLYDER-01,G12A-F-DERDEF-01;G10G-F-CUBIC-LOCAL-01,ready,
G12A-F-ALGDER-01,,ready,
G12A-F-PRODUCT-01,G12A-F-POLYDER-01,ready,
G12A-F-QUOTIENT-01,G12A-F-PRODUCT-01,ready,
G12A-F-CHAIN-01,G12A-F-POLYDER-01;G12A-F-FUNCOPS-01,ready,
G12A-F-HIGHER-01,,ready,
G12A-F-MONOTONE-01,G12A-F-POLYDER-01,ready,
G12A-F-CONCAVITY-01,G12A-F-HIGHER-01,ready,
G12A-F-LINEARAPP-01,,ready,
G12A-F-OPT-01,G12A-F-MONOTONE-01,ready,
G12A-F-TAYLORPOLY-01,,ready,
G12A-F-RIEMANN-01,G12A-F-CONT-01;G10G-N-SUMFORM-01,ready,
G12A-F-DEFINT-01,G12A-F-RIEMANN-01,ready,
G12A-F-ANTIDER-01,G12A-F-POLYDER-01,ready,
G12A-F-FTC-01,G12A-F-DEFINT-01;G12A-F-ANTIDER-01,ready,
G12A-F-AREA-01,G12A-F-FTC-01,ready,
G12A-F-DISPLACE-01,G12A-F-FTC-01,ready,
G12A-F-AVG-01,G12A-F-FTC-01,ready,
G12A-F-DISKAREA-01,,ready,
G12A-F-SLICEVOL-01,G12A-F-DEFINT-01,ready,
G12A-F-REVOLVOL-01,,ready,
G12A-D-RV-01,G11A-D-BAYES-01;G10G-D-EXPECT-01,ready,
G12A-D-EXPECT-01,G12A-D-RV-01,ready,
G12A-D-VAR-01,G12A-D-EXPECT-01,ready,
G12A-D-BERNOULLI-01,G11A-D-INDEP-01,ready,
G12A-D-BINOM-01,G12A-D-BERNOULLI-01;G10G-D-COMB-01,ready,
G12A-D-GEOM-01,G12A-D-BERNOULLI-01,ready,
G12A-D-REASONABLE-01,,ready,
