micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G12A-N-SEQLIM-01-C1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,概念與條件辨識,由數值表/圖形理解趨近與極限；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-01-P1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,標準程序,由數值表/圖形理解趨近與極限；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-01-V1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,多表徵轉換,由數值表/圖形理解趨近與極限；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-01-R1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,逆向驗證,由數值表/圖形理解趨近與極限；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-01-A1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,情境建模,由數值表/圖形理解趨近與極限；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-01-T1,G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,條件變形,由數值表/圖形理解趨近與極限；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-C1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,概念與條件辨識,和差積商的極限運算與條件；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-P1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,標準程序,和差積商的極限運算與條件；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-V1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,多表徵轉換,和差積商的極限運算與條件；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-R1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,逆向驗證,和差積商的極限運算與條件；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-A1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,情境建模,和差積商的極限運算與條件；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-T1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,條件變形,和差積商的極限運算與條件；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SEQLIM-LAW-01-X1,G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,跨主題整合,和差積商的極限運算與條件；第二層：整合極限、微積分、複數、幾何與機率,跨章整合,無法辨識跨主題知識鏈,5,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-C1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,概念與條件辨識,以上下界數列共同極限推出中間數列極限；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-P1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,標準程序,以上下界數列共同極限推出中間數列極限；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-V1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,多表徵轉換,以上下界數列共同極限推出中間數列極限；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-R1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,逆向驗證,以上下界數列共同極限推出中間數列極限；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-A1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,情境建模,以上下界數列共同極限推出中間數列極限；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-T1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,條件變形,以上下界數列共同極限推出中間數列極限；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-SQUEEZE-01-X1,G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,跨主題整合,以上下界數列共同極限推出中間數列極限；第二層：整合極限、微積分、複數、幾何與機率,跨章整合,無法辨識跨主題知識鏈,5,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-C1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,概念與條件辨識,由切線迭代近似方程根並用計算機觀察收斂；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-P1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,標準程序,由切線迭代近似方程根並用計算機觀察收斂；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-V1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,多表徵轉換,由切線迭代近似方程根並用計算機觀察收斂；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-R1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,逆向驗證,由切線迭代近似方程根並用計算機觀察收斂；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-A1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,情境建模,由切線迭代近似方程根並用計算機觀察收斂；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學甲,MathAI普高12年級選修語義分類
G12A-N-NEWTON-01-T1,G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,條件變形,由切線迭代近似方程根並用計算機觀察收斂；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學甲,MathAI普高12年級選修語義分類
