skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G12A-N-SEQLIM-01,N-12甲-1,極限與無窮,數列極限,數列極限概念,由數值表/圖形理解趨近與極限,3
G12A-N-SEQLIM-LAW-01,N-12甲-1,極限與無窮,數列極限,數列極限運算律,和差積商的極限運算與條件,4
G12A-N-SQUEEZE-01,N-12甲-1,極限與無窮,數列極限,夾擠定理,以上下界數列共同極限推出中間數列極限,5
G12A-N-NEWTON-01,N-12甲-1,極限與無窮,數值法,牛頓求根法,由切線迭代近似方程根並用計算機觀察收斂,5
G12A-N-E-01,N-12甲-1,極限與無窮,常數e,連續複利與e,由連續複利情境認識e,4
G12A-N-INFGEOSER-01,N-12甲-2,極限與無窮,無窮等比級數,收斂條件與和,|r|<1時求無窮等比級數和,4
G12A-N-REPEATDEC-01,N-12甲-2,極限與無窮,無窮等比級數,循環小數轉分數,以無窮等比級數表示循環小數,4
G12A-N-SIGMA-01,N-12甲-2,極限與無窮,Σ符號,Σ基本操作,理解有限/無窮求和表示與索引,3
G12A-N-COMPLEX-01,N-12甲-3,複數,複數平面,複數與複數平面,由a+bi對應平面點並理解模長,3
G12A-N-COMPLEX-OPS-01,N-12甲-3,複數,運算,複數四則與絕對值,熟練四則、共軛與模長,4
G12A-N-POLAR-01,N-12甲-3,複數,極式,複數極式,將複數寫成r(cosθ+i sinθ),4
G12A-N-DEMOIVRE-01,N-12甲-3,複數,極式,棣美弗定理,求複數整數次方與角度倍增,5
G12A-N-NROOT-01,N-12甲-3,複數,極式,複數n次方根,求n次方根並理解複數平面的等角分布,5
G12A-A-CROOT-01,A-12甲-1,複數與方程式,虛根,方程式虛根,解實係數多項方程的複數根,4
G12A-A-FTA-01,A-12甲-1,複數與方程式,代數基本定理,代數基本定理,理解n次複係數多項式共有n個複根（重根計）,5
G12A-A-CONJROOT-01,A-12甲-1,複數與方程式,虛根,共軛根成對,實係數多項式非實根成共軛對,4
G12A-G-PARABOLA-01,G-12甲-1,二次曲線,拋物線,拋物線標準式,焦點準線定義與標準式,4
G12A-G-ELLIPSE-01,G-12甲-1,二次曲線,橢圓,橢圓標準式,焦點和距固定與長短軸,4
G12A-G-HYPERBOLA-01,G-12甲-1,二次曲線,雙曲線,雙曲線標準式,焦點距差固定與漸近方向,5
G12A-G-CONIC-TRANS-01,G-12甲-1,二次曲線,變換,平移伸縮,由標準式做平移伸縮辨認曲線,4
G12A-G-ELLIPSE-PARAM-01,G-12甲-1,二次曲線,參數式,橢圓參數式,用參數表示橢圓與圓上的點,5
G12A-G-ROT-ELLIPSE-01,G-12甲-1,二次曲線,線性變換,旋轉橢圓認識xy項,由線性變換直觀理解旋轉後二次式含xy項,5
G12A-F-FUNCOPS-01,F-12甲-1,函數與微積分,函數,函數運算,f±g、fg與合成函數的運算,3
G12A-F-ODDEVEN-01,F-12甲-1,函數與微積分,函數,奇偶性,由f(-x)辨認奇偶函數及圖形對稱,3
G12A-F-INVERSE-01,F-12甲-1,函數與微積分,函數,反函數,代數求反函數並理解y=x對稱,4
G12A-F-CONCAVE-01,F-12甲-1,函數與微積分,函數,凹凸性概念,由圖形理解凹向上/下的幾何意義,3
G12A-F-LIMIT-01,F-12甲-2,函數與微積分,函數極限,點極限,由左右趨勢理解lim x→a f(x),3
G12A-F-LIMIT-LAW-01,F-12甲-2,函數與微積分,函數極限,函數極限運算律,多項式/有理式極限與代數化簡,4
G12A-F-PIECEWISE-01,F-12甲-2,函數與微積分,函數極限,分段與絕對值函數,處理左右極限、分段函數與絕對值,4
G12A-F-CONT-01,F-12甲-2,函數與微積分,連續,函數連續,以極限值=函數值理解連續,4
G12A-F-IVT-01,F-12甲-2,函數與微積分,連續,介值定理,以連續性保證中間值與根存在,5
G12A-F-SQUEEZE-01,F-12甲-2,函數與微積分,函數極限,函數夾擠定理,用上下函數共同極限求極限,5
G12A-F-DERDEF-01,F-12甲-3,函數與微積分,微分,導數極限定義,由差商極限理解瞬時變化率,4
G12A-F-TANGENT-01,F-12甲-3,函數與微積分,微分,切線與導數,以導數作切線斜率,3
G12A-F-POLYDER-01,F-12甲-3,函數與微積分,微分,多項式微分,使用冪次法則與線性運算求導,3
G12A-F-ALGDER-01,F-12甲-3,函數與微積分,微分,簡單代數函數微分,含簡單根式/分式但不超出課綱,4
G12A-F-PRODUCT-01,F-12甲-4,函數與微積分,導函數,乘法律,正確使用(fg)',4
G12A-F-QUOTIENT-01,F-12甲-4,函數與微積分,導函數,除法律,正確使用(f/g)'及定義域,4
G12A-F-CHAIN-01,F-12甲-4,函數與微積分,導函數,連鎖律,以(ax+b)^n等課綱型為主,5
G12A-F-HIGHER-01,F-12甲-4,函數與微積分,導函數,高階導數,求二階以上導數與解讀,4
G12A-F-MONOTONE-01,F-12甲-4,函數與微積分,導函數應用,單調性,由f'正負判遞增遞減區間,4
G12A-F-CONCAVITY-01,F-12甲-4,函數與微積分,導函數應用,凹凸與反曲,由f''判凹凸及反曲候選,5
G12A-F-LINEARAPP-01,F-12甲-4,函數與微積分,導函數應用,一次估計,以切線做局部線性近似,5
G12A-F-OPT-01,F-12甲-4,函數與微積分,導函數應用,最佳化,多項式為主的極值與應用,5
G12A-F-TAYLORPOLY-01,F-12甲-4,函數與微積分,導函數應用,多項式泰勒展開,理解多項式在點附近的展開，不延伸無窮級數,5
G12A-F-RIEMANN-01,F-12甲-5,積分,黎曼和,分割與黎曼和,以矩形和逼近面積,4
G12A-F-DEFINT-01,F-12甲-5,積分,黎曼和,定積分,由黎曼和極限認識定積分,4
G12A-F-ANTIDER-01,F-12甲-6,積分,反導函數,不定積分,求多項式反導函數與積分常數,3
G12A-F-FTC-01,F-12甲-6,積分,微積分基本定理,微積分基本定理,連結反導函數與定積分,4
G12A-F-AREA-01,F-12甲-6,積分,定積分應用,平面面積,以定積分求曲線與x軸/兩曲線間面積,4
G12A-F-DISPLACE-01,F-12甲-6,積分,定積分應用,位移與總變化量,由速率/變化率積分求總變化,4
G12A-F-AVG-01,F-12甲-7,積分應用,平均,連續函數平均值,以定積分除區間長度求平均,4
G12A-F-DISKAREA-01,F-12甲-7,積分應用,面積,圓面積積分觀點,以切片/定積分觀察圓面積,5
G12A-F-SLICEVOL-01,F-12甲-7,積分應用,體積,切片積分法,以截面積函數積分求體積,5
G12A-F-REVOLVOL-01,F-12甲-7,積分應用,體積,旋轉體體積,用圓盤/截面方式求基本旋轉體體積,5
G12A-D-RV-01,D-12甲-1,隨機變數與分布,離散隨機變數,隨機變數與機率分配,建立離散型隨機變數分配表,3
G12A-D-EXPECT-01,D-12甲-1,隨機變數與分布,離散隨機變數,期望值,計算E(X)並解讀長期平均,3
G12A-D-VAR-01,D-12甲-1,隨機變數與分布,離散隨機變數,變異數與標準差,由E(X²)-E(X)²求變異數,4
G12A-D-BERNOULLI-01,D-12甲-1,隨機變數與分布,伯努力試驗,伯努力與重複試驗,辨認成功失敗模型與獨立重複條件,4
