micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G11B-N-RAD-01-C1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,概念與條件辨識,弧度定義、度弧互換與rad鍵；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-RAD-01-P1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,標準程序,弧度定義、度弧互換與rad鍵；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-RAD-01-V1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,多表徵轉換,弧度定義、度弧互換與rad鍵；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-RAD-01-R1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,逆向驗證,弧度定義、度弧互換與rad鍵；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-RAD-01-A1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,情境建模,弧度定義、度弧互換與rad鍵；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-RAD-01-T1,G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,條件變形,弧度定義、度弧互換與rad鍵；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-C1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,概念與條件辨識,用s=rθ及A=1/2r²θ處理生活情境；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-P1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,標準程序,用s=rθ及A=1/2r²θ處理生活情境；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-V1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,多表徵轉換,用s=rθ及A=1/2r²θ處理生活情境；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-R1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,逆向驗證,用s=rθ及A=1/2r²θ處理生活情境；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-A1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,情境建模,用s=rθ及A=1/2r²θ處理生活情境；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-N-ARCLEN-01-T1,G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,條件變形,用s=rθ及A=1/2r²θ處理生活情境；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-C1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,概念與條件辨識,理解振幅、週期、頻率與相位直觀；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-P1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,標準程序,理解振幅、週期、頻率與相位直觀；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-V1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,多表徵轉換,理解振幅、週期、頻率與相位直觀；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-R1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,逆向驗證,理解振幅、週期、頻率與相位直觀；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-A1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,情境建模,理解振幅、週期、頻率與相位直觀；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-SINEGRAPH-01-T1,G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,條件變形,理解振幅、週期、頻率與相位直觀；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-C1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,概念與條件辨識,溫度、潮汐、日照等週期資料；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-P1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,標準程序,溫度、潮汐、日照等週期資料；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-V1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,多表徵轉換,溫度、潮汐、日照等週期資料；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-R1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,逆向驗證,溫度、潮汐、日照等週期資料；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-A1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,情境建模,溫度、潮汐、日照等週期資料；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-T1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,條件變形,溫度、潮汐、日照等週期資料；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-PERIODMODEL-01-X1,G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,跨主題整合,溫度、潮汐、日照等週期資料；第二層：整合向量、矩陣、函數、三角、機率等多主題,跨章整合,無法辨識知識鏈,5,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-C1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,概念與條件辨識,按固定比例成長/衰退模型；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-P1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,標準程序,按固定比例成長/衰退模型；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-V1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,多表徵轉換,按固定比例成長/衰退模型；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-R1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,逆向驗證,按固定比例成長/衰退模型；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-A1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,情境建模,按固定比例成長/衰退模型；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-EXPGROWTH-01-T1,G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,條件變形,按固定比例成長/衰退模型；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-C1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,概念與條件辨識,地震規模等對數尺度解讀；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-P1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,標準程序,地震規模等對數尺度解讀；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-V1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,多表徵轉換,地震規模等對數尺度解讀；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-R1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,逆向驗證,地震規模等對數尺度解讀；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-A1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,情境建模,地震規模等對數尺度解讀；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-T1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,條件變形,地震規模等對數尺度解讀；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LOGMODEL-01-X1,G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,跨主題整合,地震規模等對數尺度解讀；第二層：整合向量、矩陣、函數、三角、機率等多主題,跨章整合,無法辨識知識鏈,5,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-C1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,概念與條件辨識,平均成長率、連續複利與e的認識；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-P1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,標準程序,平均成長率、連續複利與e的認識；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-V1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,多表徵轉換,平均成長率、連續複利與e的認識；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-R1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,逆向驗證,平均成長率、連續複利與e的認識；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-A1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,情境建模,平均成長率、連續複利與e的認識；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-T1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,條件變形,平均成長率、連續複利與e的認識；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-FINANCE-01-X1,G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,跨主題整合,平均成長率、連續複利與e的認識；第二層：整合向量、矩陣、函數、三角、機率等多主題,跨章整合,無法辨識知識鏈,5,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-C1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,概念與條件辨識,以應用為主理解ln與e，不做過度代數操練；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-P1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,標準程序,以應用為主理解ln與e，不做過度代數操練；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-V1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,多表徵轉換,以應用為主理解ln與e，不做過度代數操練；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-R1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,逆向驗證,以應用為主理解ln與e，不做過度代數操練；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-A1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,情境建模,以應用為主理解ln與e，不做過度代數操練；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-T1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,條件變形,以應用為主理解ln與e，不做過度代數操練；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學B,MathAI普高11年級分流語義分類
G11B-F-LN-01-X1,G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,跨主題整合,以應用為主理解ln與e，不做過度代數操練；第二層：整合向量、矩陣、函數、三角、機率等多主題,跨章整合,無法辨識知識鏈,5,普高G11數學B,MathAI普高11年級分流語義分類
