skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,由a+bi對應平面點,3
G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,熟練四則與模長，不進極式/棣美弗,4
G12B-N-INFGEOSER-01,N-12乙-2,複數與級數,無窮等比級數,無窮等比級數,|r|<1時求和,4
G12B-N-REPEATDEC-01,N-12乙-2,複數與級數,無窮等比級數,循環小數,轉成無窮等比級數與分數,4
G12B-N-SIGMA-01,N-12乙-2,複數與級數,Σ符號,Σ認識,以有限/無窮求和表示資料與級數,3
G12B-A-LP-01,A-12乙-1,線性規劃,線性規劃,可行區域,由一次不等式系畫可行區域,4
G12B-A-LP-OBJ-01,A-12乙-1,線性規劃,線性規劃,目標函數,以平行直線系理解一次目標函數,4
G12B-A-LP-OPT-01,A-12乙-1,線性規劃,線性規劃,頂點法求最適值,在多邊形可行域比較頂點求極值,5
G12B-A-LP-APP-01,A-12乙-1,線性規劃,應用,資源配置,成本、產量、時間等線性限制建模,5
G12B-A-CROOT-01,A-12乙-2,複數與方程式,虛根,方程式虛根,解含虛根的實係數多項方程,4
G12B-A-FTA-01,A-12乙-2,複數與方程式,虛根,代數基本定理,理解多項式根數概念,4
G12B-A-CONJROOT-01,A-12乙-2,複數與方程式,虛根,共軛根成對,實係數多項式非實根成共軛對,4
G12B-F-FUNCOPS-01,F-12乙-1,函數與微積分,函數,函數運算,f±g與合成函數的基本操作,3
G12B-F-ODDEVEN-01,F-12乙-1,函數與微積分,函數,奇偶性,由f(-x)判奇偶與圖形對稱,3
G12B-F-CONCAVE-01,F-12乙-1,函數與微積分,函數,凹凸性概念,從圖形理解凹凸,3
G12B-F-LIMIT-01,F-12乙-2,函數與微積分,函數極限,點極限,以表格/圖形/代數理解函數極限,3
G12B-F-LIMIT-LAW-01,F-12乙-2,函數與微積分,函數極限,極限運算,多項式與簡單有理式極限,4
G12B-F-CONT-01,F-12乙-2,函數與微積分,連續,函數連續,理解極限值與函數值一致,4
G12B-F-IVT-01,F-12乙-2,函數與微積分,連續,介值定理,以連續性判存在性,4
G12B-F-SQUEEZE-01,F-12乙-2,函數與微積分,函數極限,夾擠定理,基本夾擠求極限,5
G12B-F-DERDEF-01,F-12乙-3,函數與微積分,微分,導數定義,由平均變化率極限理解瞬時變化率,4
G12B-F-TANGENT-01,F-12乙-3,函數與微積分,微分,切線與導數,導數作為切線斜率,3
G12B-F-POLYDER-01,F-12乙-3,函數與微積分,微分,多項式微分,冪次法則與線性運算,3
G12B-F-SECOND-01,F-12乙-4,函數與微積分,導函數,二階導數,理解二階導數與變化率變化,4
G12B-F-MONOTONE-01,F-12乙-4,函數與微積分,導函數應用,單調性,以f'正負判增減,4
G12B-F-CONCAVITY-01,F-12乙-4,函數與微積分,導函數應用,凹凸性,以f''判凹凸,4
G12B-F-OPT-01,F-12乙-4,函數與微積分,導函數應用,基本最佳化,商管/成本收益等基本極值,5
G12B-F-MARGINAL-01,F-12乙-4,函數與微積分,導函數應用,邊際意涵,以導數理解邊際成本/收益等,5
G12B-F-ANTIDER-01,F-12乙-5,積分,反導函數,一次二次函數反導,求一次二次函數反導,3
G12B-F-DEFINT-01,F-12乙-5,積分,定積分,定積分面積意義,由曲線下總量理解定積分,4
G12B-F-FTC-01,F-12乙-5,積分,微積分基本定理,基本定理,連結反導函數與定積分,4
G12B-F-AREA-01,F-12乙-5,積分,應用,面積與總變化,一次二次函數為主,4
G12B-F-AVG-01,F-12乙-6,積分應用,平均,連續函數平均值,以定積分除區間長度求平均,4
G12B-F-TOTAL-01,F-12乙-6,積分應用,總量,總量與剩餘,由變化率累積得到總量、消耗量或剩餘,5
G12B-D-RV-01,D-12乙-1,隨機變數與分布,離散隨機變數,隨機變數與分配表,由情境定義X並列分配,3
G12B-D-EXPECT-01,D-12乙-1,隨機變數與分布,離散隨機變數,期望值,計算並解讀長期平均,3
G12B-D-VAR-01,D-12乙-1,隨機變數與分布,離散隨機變數,變異數與標準差,衡量隨機變數分散程度,4
G12B-D-BERNOULLI-01,D-12乙-1,隨機變數與分布,伯努力試驗,重複獨立試驗,辨認二元結果與獨立重複,4
G12B-D-BINOM-01,D-12乙-2,隨機變數與分布,二項分布,二項分布,計算機率、期望與變異數,4
G12B-D-BINOM-APP-01,D-12乙-2,隨機變數與分布,二項分布,應用與合理性,以二項模型解讀抽樣/品質/成功次數,5
