skill_id,prerequisites,graph_status,missing_refs
G12B-N-COMPLEX-01,G11B-G-VEC-01;G10G-A-CUBICFORM-02,ready,
G12B-N-COMPLEX-OPS-01,,ready,
G12B-N-INFGEOSER-01,G10G-N-GEOSUM-01;G11B-F-EXPGROWTH-01,ready,
G12B-N-REPEATDEC-01,,ready,
G12B-N-SIGMA-01,,ready,
G12B-A-LP-01,G10G-G-LINEAR-REGION-01,ready,
G12B-A-LP-OBJ-01,G12B-A-LP-01;G11B-F-FINANCE-01,ready,
G12B-A-LP-OPT-01,G12B-A-LP-OBJ-01,ready,
G12B-A-LP-APP-01,,ready,
G12B-A-CROOT-01,G12B-N-COMPLEX-OPS-01;G10G-A-FACTOR-THM-01,ready,
G12B-A-FTA-01,,ready,
G12B-A-CONJROOT-01,,ready,
G12B-F-FUNCOPS-01,G11B-F-EXPGROWTH-01;G11B-F-PERIODMODEL-01,ready,
G12B-F-ODDEVEN-01,,ready,
G12B-F-CONCAVE-01,,ready,
G12B-F-LIMIT-01,G12B-F-FUNCOPS-01;G10G-F-CUBIC-LOCAL-01,ready,
G12B-F-LIMIT-LAW-01,G12B-F-LIMIT-01,ready,
G12B-F-CONT-01,G12B-F-LIMIT-01,ready,
G12B-F-IVT-01,,ready,
G12B-F-SQUEEZE-01,,ready,
G12B-F-DERDEF-01,G12B-F-LIMIT-01;G10G-G-SLOPE-01,ready,
G12B-F-TANGENT-01,,ready,
G12B-F-POLYDER-01,G12B-F-DERDEF-01,ready,
G12B-F-SECOND-01,G12B-F-POLYDER-01,ready,
G12B-F-MONOTONE-01,G12B-F-POLYDER-01,ready,
G12B-F-CONCAVITY-01,G12B-F-SECOND-01,ready,
G12B-F-OPT-01,G12B-F-MONOTONE-01,ready,
G12B-F-MARGINAL-01,G12B-F-POLYDER-01;G11B-F-FINANCE-01,ready,
G12B-F-ANTIDER-01,G12B-F-POLYDER-01,ready,
G12B-F-DEFINT-01,G12B-F-CONT-01,ready,
G12B-F-FTC-01,G12B-F-DEFINT-01;G12B-F-ANTIDER-01,ready,
G12B-F-AREA-01,,ready,
G12B-F-AVG-01,G12B-F-FTC-01,ready,
G12B-F-TOTAL-01,,ready,
G12B-D-RV-01,G11B-D-BAYES-01;G10G-D-EXPECT-01,ready,
G12B-D-EXPECT-01,G12B-D-RV-01,ready,
G12B-D-VAR-01,G12B-D-EXPECT-01,ready,
G12B-D-BERNOULLI-01,G11B-D-INDEP-01,ready,
G12B-D-BINOM-01,G12B-D-BERNOULLI-01;G10G-D-COMB-01,ready,
G12B-D-BINOM-APP-01,,ready,
