micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G08-A-MULFORM-01-C1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,概念辨識,理解(a+b)^2的展開與幾何/代數意義；第二層：辨認定義、條件、符號、式型或幾何性質,定義/式型/性質判斷,概念邊界、符號或條件混淆,1,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-01-P1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,標準程序,理解(a+b)^2的展開與幾何/代數意義；第二層：依標準算法完成展開、化簡、解式、作圖、統計或數列計算,標準計算/解法,程序、符號、係數或運算順序錯誤,2,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-01-V1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,多表徵轉換,理解(a+b)^2的展開與幾何/代數意義；第二層：在文字、代數式、坐標、函數圖、統計圖與幾何圖間轉換,圖↔式、表↔式、文字↔式,轉換後未保留原數學關係,3,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-01-R1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,逆向與驗證,理解(a+b)^2的展開與幾何/代數意義；第二層：由結果反推條件、乘回驗證、代回驗根或檢查幾何依據,反推、驗算、找錯,只會正向套步驟，無法驗證,3,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-01-A1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,情境建模,理解(a+b)^2的展開與幾何/代數意義；第二層：由情境設定變數、建立模型、選擇方法並解釋答案,應用/建模題,漏條件、選錯模型或未篩選合理解,4,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-01-T1,G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,條件變形,理解(a+b)^2的展開與幾何/代數意義；第二層：加入根式、分式係數、多步驟、跨表徵或干擾資訊,進階變形題,局部技巧會但整體等價或條件失控,4,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-C1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,概念辨識,理解(a-b)^2展開並辨認中間項符號；第二層：辨認定義、條件、符號、式型或幾何性質,定義/式型/性質判斷,概念邊界、符號或條件混淆,1,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-P1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,標準程序,理解(a-b)^2展開並辨認中間項符號；第二層：依標準算法完成展開、化簡、解式、作圖、統計或數列計算,標準計算/解法,程序、符號、係數或運算順序錯誤,2,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-V1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,多表徵轉換,理解(a-b)^2展開並辨認中間項符號；第二層：在文字、代數式、坐標、函數圖、統計圖與幾何圖間轉換,圖↔式、表↔式、文字↔式,轉換後未保留原數學關係,3,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-R1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,逆向與驗證,理解(a-b)^2展開並辨認中間項符號；第二層：由結果反推條件、乘回驗證、代回驗根或檢查幾何依據,反推、驗算、找錯,只會正向套步驟，無法驗證,3,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-A1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,情境建模,理解(a-b)^2展開並辨認中間項符號；第二層：由情境設定變數、建立模型、選擇方法並解釋答案,應用/建模題,漏條件、選錯模型或未篩選合理解,4,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-02-T1,G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,條件變形,理解(a-b)^2展開並辨認中間項符號；第二層：加入根式、分式係數、多步驟、跨表徵或干擾資訊,進階變形題,局部技巧會但整體等價或條件失控,4,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-03-C1,G08-A-MULFORM-03,A-8-1,多項式與公式,乘法公式,平方差公式,概念辨識,理解(a+b)(a-b)=a^2-b^2；第二層：辨認定義、條件、符號、式型或幾何性質,定義/式型/性質判斷,概念邊界、符號或條件混淆,1,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-03-P1,G08-A-MULFORM-03,A-8-1,多項式與公式,乘法公式,平方差公式,標準程序,理解(a+b)(a-b)=a^2-b^2；第二層：依標準算法完成展開、化簡、解式、作圖、統計或數列計算,標準計算/解法,程序、符號、係數或運算順序錯誤,2,G8國中適齡,MathAI原創語義分類
G08-A-MULFORM-03-V1,G08-A-MULFORM-03,A-8-1,多項式與公式,乘法公式,平方差公式,多表徵轉換,理解(a+b)(a-b)=a^2-b^2；第二層：在文字、代數式、坐標、函數圖、統計圖與幾何圖間轉換,圖↔式、表↔式、文字↔式,轉換後未保留原數學關係,3,G8國中適齡,MathAI原創語義分類
