skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G08-A-MULFORM-01,A-8-1,多項式與公式,乘法公式,和平方公式,理解(a+b)^2的展開與幾何/代數意義,3
G08-A-MULFORM-02,A-8-1,多項式與公式,乘法公式,差平方公式,理解(a-b)^2展開並辨認中間項符號,3
G08-A-MULFORM-03,A-8-1,多項式與公式,乘法公式,平方差公式,理解(a+b)(a-b)=a^2-b^2,3
G08-A-MULFORM-04,A-8-1,多項式與公式,乘法公式,雙二項式展開,用分配律展開(a+b)(c+d),3
G08-A-MULFORM-APP-01,A-8-1,多項式與公式,乘法公式,公式逆辨識與數值簡算,從式型辨認適用公式並做數值變形,4
G08-A-POLY-TERM-01,A-8-2,多項式與公式,多項式,項係數常數項,辨認一元多項式的項、係數與常數項,2
G08-A-POLY-DEG-01,A-8-2,多項式與公式,多項式,次數與最高次項,判斷單項式/多項式次數、最高次項,2
G08-A-POLY-ORDER-01,A-8-2,多項式與公式,多項式,升冪與降冪排列,依次數重新排列多項式,2
G08-A-POLY-ADD-01,A-8-3,多項式與公式,多項式運算,多項式加法,對齊同類項完成橫式或直式加法,3
G08-A-POLY-SUB-01,A-8-3,多項式與公式,多項式運算,多項式減法,處理整體負號後合併同類項,3
G08-A-POLY-MUL-MONO-01,A-8-3,多項式與公式,多項式運算,單項式乘多項式,以分配律展開並合併,3
G08-A-POLY-MUL-01,A-8-3,多項式與公式,多項式運算,多項式乘多項式,橫式/直式完成乘法，乘積最高至三次,4
G08-A-POLY-DIV-01,A-8-3,多項式與公式,多項式運算,多項式除法,被除式二次範圍內的直式除法,4
G08-A-POLY-ID-01,A-8-1 / A-8-3,多項式與公式,恆等式,乘法公式驗證,透過展開比較兩側多項式恆等,4
G08-N-SQRT-MEAN-01,N-8-1,平方根與根式,平方根,平方根與根號,理解正數有正負兩平方根，√a代表非負平方根,3
G08-N-SQRT-PERFECT-01,N-8-1,平方根與根式,平方根,完全平方數平方根,熟練常見完全平方數與根號值,2
G08-N-RAD-SIMPLIFY-01,N-8-1,平方根與根式,根式,根式化簡,抽取完全平方因數化簡根式,3
G08-N-RAD-MUL-01,N-8-1,平方根與根式,根式運算,根式乘法,在非負範圍運用√a√b=√ab,3
G08-N-RAD-DIV-01,N-8-1,平方根與根式,根式運算,根式除法,化簡根式商並處理分母根式的基礎型,4
G08-N-RAD-ADD-01,N-8-1,平方根與根式,根式運算,同類根式加減,先化簡再合併同類根式,4
G08-N-RAD-MIX-01,N-8-1 / A-8-1,平方根與根式,根式運算,根式混合與乘法公式,使用分配律/乘法公式處理根式乘法,5
G08-N-SQRT-INTPART-01,N-8-2,平方根與根式,近似值,平方根整數部分,利用相鄰完全平方數夾擠,3
G08-N-SQRT-APPROX-01,N-8-2,平方根與根式,近似值,十分逼近,用十分逼近或計算機估根號近似值,3
G08-S-PYTH-01,S-8-6,畢氏定理與距離,直角三角形,畢氏定理,理解直角三角形兩股平方和等於斜邊平方,3
G08-S-PYTH-INV-01,S-8-6,畢氏定理與距離,直角三角形,畢氏逆定理,用三邊平方關係判定直角三角形,4
G08-S-PYTH-LEN-01,S-8-6,畢氏定理與距離,直角三角形,未知邊長,由兩邊求第三邊並化簡根式,4
G08-S-PYTH-APP-01,S-8-6,畢氏定理與距離,應用,生活與複合圖形,處理梯子、斜距、矩形對角線等,4
G08-G-DIST-01,G-8-1 / S-8-6,畢氏定理與距離,坐標距離,兩點距離公式,由水平垂直差推導並使用兩點距離公式,4
G08-G-DIST-APP-01,G-8-1,畢氏定理與距離,坐標距離,坐標幾何應用,求坐標平面線段長與生活距離,5
G08-A-FACTOR-MEAN-01,A-8-4,因式分解,基本概念,因式與倍式,理解多項式乘積與因式關係,2
