skill_id,prerequisites,graph_status,missing_refs
G07-N-PRIME-01,G06-N-PRIME-01,ready,
G07-N-SIEVE-01,G06-N-PRIME-01,ready,
G07-N-FACT-STD-01,G06-N-PRIME-03,ready,
G07-N-FACTORCOUNT-01,G07-N-FACT-STD-01;G06-N-GCF-01,ready,
G07-N-GCDLCM-01,G07-N-FACT-STD-01;G06-N-GCF-01;G06-N-LCM-01,ready,
G07-N-SIGNED-01,G06-N-BASE-01;G06-R-EXPR-01,ready,
G07-N-NUMBERLINE-01,G04-N-NUMBERLINE-02;G06-N-BASE-01,ready,
G07-N-OPPOSITE-01,G07-N-SIGNED-01,ready,
G07-N-ABS-01,G07-N-NUMBERLINE-01,ready,
G07-N-DIST-01,G07-N-ABS-01,ready,
G07-N-ADDINT-01,G07-N-SIGNED-01;G07-N-NUMBERLINE-01,ready,
G07-N-SUBINT-01,G07-N-ADDINT-01;G07-N-OPPOSITE-01,ready,
G07-N-MULINT-01,G06-R-MIXED-01;G07-N-SIGNED-01,ready,
G07-N-DIVINT-01,G07-N-MULINT-01,ready,
G07-N-MIXED-01,G07-N-ADDINT-01;G07-N-SUBINT-01;G07-N-MULINT-01;G07-N-DIVINT-01,ready,
G07-N-LAWS-01,G06-R-INVARIANT-01;G05-R-LAW-01,ready,
G07-N-NEG-BRACKET-01,G07-N-LAWS-01;G07-N-SIGNED-01,ready,
G07-N-POWER-01,G06-N-PRIME-03,ready,
G07-N-ZEROPOWER-01,G07-N-POWER-01,ready,
G07-N-POWER-CMP-01,,ready,
G07-N-INDEX-MUL-01,G07-N-POWER-01,ready,
G07-N-INDEX-DIV-01,G07-N-INDEX-MUL-01,ready,
G07-N-INDEX-POW-01,G07-N-INDEX-MUL-01,ready,
G07-N-INDEX-PROD-01,G07-N-INDEX-MUL-01,ready,
G07-N-SCI-01,G07-N-POWER-01;G04-N-100M-01,ready,
G07-N-SCI-SMALL-01,G07-N-SCI-01;G04-N-DEC2-01,ready,
G07-N-SCI-CMP-01,,ready,
G07-A-SYMBOL-01,G06-R-EXPR-01;G05-R-SYMBOL-01,ready,
G07-A-EXPR-READ-01,G07-A-SYMBOL-01,ready,
G07-A-LIKE-01,G07-A-EXPR-READ-01,ready,
G07-A-COMBINE-01,G07-A-LIKE-01;G07-N-LAWS-01,ready,
G07-A-SUBSTITUTE-01,G07-A-EXPR-READ-01;G07-N-SIGNED-01,ready,
G07-A-EXPR-APP-01,G06-R-EXPR-01;G07-A-SYMBOL-01,ready,
G07-A-LINEQ-MEAN-01,G07-A-SYMBOL-01;G06-R-SUMDIFF-01,ready,
G07-A-LINEQ-FORM-01,G07-A-EXPR-APP-01;G06-R-EXPR-01,ready,
G07-A-EQUALITY-01,G07-A-LINEQ-MEAN-01,ready,
G07-A-TRANSPOSE-01,G07-A-EQUALITY-01;G07-A-COMBINE-01,ready,
G07-A-SOLVE-01,G07-A-TRANSPOSE-01;G07-N-MIXED-01,ready,
G07-A-CHECK-01,G07-A-LINEQ-MEAN-01;G07-A-SUBSTITUTE-01,ready,
G07-A-EQAPP-01,G07-A-SOLVE-01;G07-A-LINEQ-FORM-01;G06-R-AGES-01,ready,
G07-A-TWOEQ-MEAN-01,G07-A-LINEQ-MEAN-01;G07-A-SYMBOL-01,ready,
G07-A-SYSTEM-MEAN-01,G07-A-TWOEQ-MEAN-01,ready,
G07-A-SYSTEM-FORM-01,G07-A-EXPR-APP-01;G07-A-TWOEQ-MEAN-01,ready,
G07-A-SUBMETHOD-01,G07-A-SYSTEM-MEAN-01;G07-A-SOLVE-01,ready,
G07-A-ELIMMETHOD-01,G07-A-SYSTEM-MEAN-01;G07-A-COMBINE-01,ready,
