skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G07-N-PRIME-01,N-7-1,整數與質因數,質數,質數與合數,辨認100以內質數、合數與1的特殊性,2
G07-N-SIEVE-01,N-7-1,整數與質因數,質數,質數篩法,使用系統化篩法找出指定範圍質數,2
G07-N-FACT-STD-01,N-7-2,整數與質因數,標準分解式,質因數標準分解式,以質因數次方乘積表示正整數,3
G07-N-FACTORCOUNT-01,N-7-2,整數與質因數,標準分解式,由標準分解式判斷因數,利用質因數指數組合判斷/列出因數,4
G07-N-GCDLCM-01,N-7-2,整數與質因數,因數倍數應用,以標準分解式求公因公倍,利用各質因數指數的最小/最大值處理GCD/LCM,4
G07-N-SIGNED-01,N-7-3 / N-7-5,正負數,正負數與數線,正數負數與相反量,用正負號描述方向、溫度、高低等相反量,2
G07-N-NUMBERLINE-01,N-7-5,正負數,數線,負數數線與大小,在數線定位正負整數/分數/小數並比較,2
G07-N-OPPOSITE-01,N-7-3 / N-7-5,正負數,相反數,相反數,理解互為相反數的兩數和為0,2
G07-N-ABS-01,N-7-5,正負數,絕對值,絕對值的距離意義,把|a|解讀為a到0的距離,3
G07-N-DIST-01,N-7-5,正負數,數線距離,兩點距離 |a-b|,用絕對值表示數線兩點距離,4
G07-N-ADDINT-01,N-7-3,正負數運算,整數加減,正負數加法,用數線/符號規則完成同異號加法,2
G07-N-SUBINT-01,N-7-3,正負數運算,整數加減,正負數減法,將減法轉化為加相反數並計算,3
G07-N-MULINT-01,N-7-3,正負數運算,整數乘除,正負數乘法,理解符號規則與連乘正負號,2
G07-N-DIVINT-01,N-7-3,正負數運算,整數乘除,正負數除法,理解除法符號規則與商的正負,2
G07-N-MIXED-01,N-7-3 / N-7-4,正負數運算,四則混合,含負數四則混合,依運算順序與括號處理整數/分數/小數,4
G07-N-LAWS-01,N-7-4,正負數運算,運算規律,交換結合分配律,在含負數情境正確使用運算律,4
G07-N-NEG-BRACKET-01,N-7-4,正負數運算,負號規則,括號前負號,理解-(a+b)與-(a-b)的符號展開,4
G07-N-POWER-01,N-7-6,指數,指數意義,底數指數與乘方,辨認底數、指數並把連乘寫成乘方,2
G07-N-ZEROPOWER-01,N-7-6,指數,指數意義,零次方,理解a≠0時a^0=1,3
G07-N-POWER-CMP-01,N-7-6,指數,指數意義,同底數冪大小比較,在適當條件下比較同底數不同非負整數次方,3
G07-N-INDEX-MUL-01,N-7-7,指數,指數律,同底數乘法,a^m×a^n=a^(m+n)的數字例運用,3
G07-N-INDEX-DIV-01,N-7-7,指數,指數律,同底數除法,m≥n時用a^(m-n)化簡數字例,3
G07-N-INDEX-POW-01,N-7-7,指數,指數律,乘方的乘方,理解(a^m)^n的指數乘法,4
G07-N-INDEX-PROD-01,N-7-7,指數,指數律,乘積的乘方,理解(ab)^n=a^n b^n,4
