micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G02-N-200-01-C1,G02-N-200-01,N-2-1,數概念,200/300以內的數,200以內讀寫與做數,概念辨識,以百、十、一表徵200/300以內數；第二層：辨認定義、數量角色或圖形特徵,指認、配對、判斷,混淆關鍵概念或只看表面特徵,1,G2適齡,MathAI原創語義分類
G02-N-200-01-M1,G02-N-200-01,N-2-1,數概念,200/300以內的數,200以內讀寫與做數,操作建構,以百、十、一表徵200/300以內數；第二層：以位值積木、錢幣、尺、鐘面、分組等具體操作建構概念,拖拉、圈選、排放、操作,未建立具體量與符號的連結,1,G2適齡,MathAI原創語義分類
G02-N-200-01-P1,G02-N-200-01,N-2-1,數概念,200/300以內的數,200以內讀寫與做數,標準程序,以百、十、一表徵200/300以內數；第二層：依二年級標準程序完成計算、測量、讀表或分類,一步至兩步標準題,位值未對齊、漏步驟或符號錯,2,G2適齡,MathAI原創語義分類
G02-N-200-01-V1,G02-N-200-01,N-2-1,數概念,200/300以內的數,200以內讀寫與做數,表徵轉換,以百、十、一表徵200/300以內數；第二層：在實物、圖像、表格、數字、算式與語句間轉換,看圖列式、畫圖表徵、配對,能算但看不懂圖或無法把情境轉成算式,2,G2適齡,MathAI原創語義分類
G02-N-200-01-A1,G02-N-200-01,N-2-1,數概念,200/300以內的數,200以內讀寫與做數,生活情境,以百、十、一表徵200/300以內數；第二層：在購物、時間、長度、分組等生活情境解題,文字題、生活題,抓錯總量/部分量或關係詞,3,G2適齡,MathAI原創語義分類
G02-N-1000-01-C1,G02-N-1000-01,N-2-1,數概念,1000以內的數,1000以內讀寫與做數,概念辨識,以百、十、一理解1000以內數與位值；第二層：辨認定義、數量角色或圖形特徵,指認、配對、判斷,混淆關鍵概念或只看表面特徵,1,G2適齡,MathAI原創語義分類
G02-N-1000-01-M1,G02-N-1000-01,N-2-1,數概念,1000以內的數,1000以內讀寫與做數,操作建構,以百、十、一理解1000以內數與位值；第二層：以位值積木、錢幣、尺、鐘面、分組等具體操作建構概念,拖拉、圈選、排放、操作,未建立具體量與符號的連結,1,G2適齡,MathAI原創語義分類
G02-N-1000-01-P1,G02-N-1000-01,N-2-1,數概念,1000以內的數,1000以內讀寫與做數,標準程序,以百、十、一理解1000以內數與位值；第二層：依二年級標準程序完成計算、測量、讀表或分類,一步至兩步標準題,位值未對齊、漏步驟或符號錯,2,G2適齡,MathAI原創語義分類
G02-N-1000-01-V1,G02-N-1000-01,N-2-1,數概念,1000以內的數,1000以內讀寫與做數,表徵轉換,以百、十、一理解1000以內數與位值；第二層：在實物、圖像、表格、數字、算式與語句間轉換,看圖列式、畫圖表徵、配對,能算但看不懂圖或無法把情境轉成算式,2,G2適齡,MathAI原創語義分類
G02-N-1000-01-A1,G02-N-1000-01,N-2-1,數概念,1000以內的數,1000以內讀寫與做數,生活情境,以百、十、一理解1000以內數與位值；第二層：在購物、時間、長度、分組等生活情境解題,文字題、生活題,抓錯總量/部分量或關係詞,3,G2適齡,MathAI原創語義分類
G02-N-PLACE-01-C1,G02-N-PLACE-01,N-2-1,數概念,位值,百位十位個位,概念辨識,讀出各位數字代表的值並做位值換算；第二層：辨認定義、數量角色或圖形特徵,指認、配對、判斷,混淆關鍵概念或只看表面特徵,1,G2適齡,MathAI原創語義分類
