skill_id,prerequisites,graph_status
G02-N-200-01,G01-N-100-01;G01-N-PLACE-01,cross_grade_ready
G02-N-1000-01,G02-N-200-01,internal_ready
G02-N-PLACE-01,G01-N-PLACE-01;G02-N-200-01,cross_grade_ready
G02-N-ORDER-01,G01-N-100ORDER-01,cross_grade_ready
G02-N-COIN-01,G01-N-MONEY-02,cross_grade_ready
G02-N-COIN-APP-01,G01-N-MONEY-03;G02-N-COIN-01,cross_grade_ready
G02-N-ADD-VERT-01,G01-N-2DIGADD-01;G02-N-PLACE-01,cross_grade_ready
G02-N-ADD-CARRY1-01,G02-N-ADD-VERT-01;G01-N-18ADD-01,cross_grade_ready
G02-N-ADD-CARRY2-01,G02-N-ADD-CARRY1-01,internal_ready
G02-N-SUB-VERT-01,G01-N-2DIGSUB-01;G02-N-PLACE-01,cross_grade_ready
G02-N-SUB-BORROW-01,G02-N-SUB-VERT-01;G01-N-18SUB-01,cross_grade_ready
G02-N-ZERO-OPS-01,G02-N-ADD-CARRY1-01;G02-N-SUB-BORROW-01,internal_ready
G02-R-INVERSE-01,G01-N-ADD-FLUENCY-01;G01-N-SUB-FLUENCY-01,cross_grade_ready
G02-N-UNK-ADDEND-01,G02-R-INVERSE-01,internal_ready
G02-N-UNK-SUB-01,G02-R-INVERSE-01,internal_ready
G02-N-EST-01,,entry_skill
G02-N-TWOSTEP-ADD-01,G02-N-ADD-CARRY1-01;G01-N-WORD-01,cross_grade_ready
G02-N-TWOSTEP-SUB-01,G02-N-SUB-BORROW-01;G01-N-WORD-01,cross_grade_ready
G02-N-TWOSTEP-MIX-01,G02-N-TWOSTEP-ADD-01;G02-N-TWOSTEP-SUB-01,internal_ready
G02-R-ADDORDER-01,,entry_skill
G02-N-MUL-MEAN-01,G01-N-COMP-01;G01-N-ADD-FLUENCY-01,cross_grade_ready
G02-N-MUL-2-01,G02-N-MUL-MEAN-01,internal_ready
G02-N-MUL-4-8-01,G02-N-MUL-2-01,internal_ready
G02-N-MUL-3-6-01,G02-N-MUL-MEAN-01,internal_ready
G02-N-MUL-7-9-01,G02-N-MUL-3-6-01;G02-N-MUL-4-8-01,internal_ready
G02-N-MUL-0-1-10-01,,entry_skill
G02-N-MUL-TABLE-01,G02-N-MUL-7-9-01;G02-N-MUL-0-1-10-01,internal_ready
G02-R-MULCOMM-01,G02-N-MUL-MEAN-01,internal_ready
G02-N-MULADD-01,G02-N-MUL-MEAN-01;G02-N-ADD-VERT-01,internal_ready
G02-N-MULSUB-01,G02-N-MUL-MEAN-01;G02-N-SUB-VERT-01,internal_ready
G02-N-SHARE-01,G02-N-MUL-MEAN-01,internal_ready
G02-N-GROUP-01,G02-N-MUL-MEAN-01,internal_ready
G02-N-SHARE-REL-01,G02-N-SHARE-01;G02-N-MUL-TABLE-01,internal_ready
G02-N-FRAC-UNIT-01,G02-N-SHARE-01,internal_ready
G02-N-FRAC-UNIT-02,G02-N-FRAC-UNIT-01,internal_ready
G02-N-FRAC-CMP-01,G02-N-FRAC-UNIT-02,internal_ready
G02-N-CM-01,G01-N-LEN-03,cross_grade_ready
G02-N-METER-01,G02-N-CM-01,internal_ready
G02-N-RULER-01,G02-N-CM-01,internal_ready
G02-N-LENOPS-01,G02-N-RULER-01;G02-N-ADD-VERT-01,internal_ready
G02-S-PERIM-01,G02-N-LENOPS-01;G02-S-INOUT-01,internal_ready
G02-N-CAP-01,,entry_skill
G02-N-WEIGHT-01,,entry_skill
G02-S-AREA-01,G01-N-LEN-01,cross_grade_ready
G02-S-AREA-02,G02-S-AREA-01,internal_ready
G02-N-CLOCK-01,G01-N-CLOCK-02,cross_grade_ready
G02-N-CLOCK-02,,entry_skill
G02-N-CALENDAR-01,G01-N-DATE-01,cross_grade_ready
G02-N-CALENDAR-02,,entry_skill
G02-S-FEATURE-01,G01-S-SHAPE-01,cross_grade_ready
G02-S-TRIQUAD-01,G02-S-FEATURE-01,internal_ready
G02-S-SPECIAL-01,G02-S-TRIQUAD-01;G02-N-RULER-01,internal_ready
G02-S-INOUT-01,G02-S-TRIQUAD-01,internal_ready
G02-S-SOLID-01,G01-S-SOLID-01,cross_grade_ready
G02-R-TRANSITIVE-01,,entry_skill
G02-D-TABLE-01,G01-D-RECORD-01,cross_grade_ready
G02-D-READ-01,G02-D-TABLE-01,internal_ready
