skill_id,prerequisites,graph_status,missing_refs
G09-N-CONT-RATIO-01,G07-N-RATIO-01;G07-N-PROP-01,ready,
G09-N-CONT-RATIO-02,G09-N-CONT-RATIO-01,ready,
G09-N-CONT-RATIO-03,G09-N-CONT-RATIO-02;G07-N-PROP-01,ready,
G09-N-CONT-RATIO-04,G09-N-CONT-RATIO-03;G07-N-PROP-APP-01,ready,
G09-N-CONT-RATIO-05,G09-N-CONT-RATIO-04,ready,
G09-S-SIM-SCALE-01,G06-S-SCALE-01;G06-S-SCALE-02,ready,
G09-S-SIM-POLY-01,G09-S-SIM-SCALE-01;G08-S-CONGRUENT-01,ready,
G09-S-SIM-RATIO-01,G09-S-SIM-POLY-01;G07-N-PROP-01,ready,
G09-S-SIM-AAA-01,G08-S-ANGLE-REL-01;G09-S-SIM-POLY-01,ready,
G09-S-SIM-SAS-01,G09-S-SIM-RATIO-01;G08-S-TRI-SAS-01,ready,
G09-S-SIM-SSS-01,G09-S-SIM-RATIO-01;G08-S-TRI-SSS-01,ready,
G09-S-SIM-HIGH-01,G09-S-SIM-AAA-01;G09-S-SIM-RATIO-01,ready,
G09-S-SIM-AREA-01,G09-S-SIM-RATIO-01;G05-S-AREA-TRI-01,ready,
G09-S-SIM-APP-01,G09-S-SIM-AREA-01;G06-S-MAPSCALE-02,ready,
G09-S-PAR-MID-01,G08-S-PARALLEL-01;G08-S-TRI-SSS-01,ready,
G09-S-PAR-PROP-01,G08-S-PARALLEL-01;G09-S-SIM-AAA-01,ready,
G09-S-PAR-REV-01,G08-S-PARALLEL-REV-01;G09-S-PAR-PROP-01,ready,
G09-S-PAR-APP-01,G09-S-PAR-PROP-01,ready,
G09-S-RT-306090-01,G08-S-PYTH-01;G08-S-EQUIL-H-01,ready,
G09-S-RT-454590-01,G08-S-PYTH-01;G08-S-ISO-01,ready,
G09-S-TRIG-RATIO-01,G09-S-SIM-AAA-01;G09-S-RT-306090-01;G09-S-RT-454590-01,ready,
G09-S-TRIG-CALC-01,G09-S-TRIG-RATIO-01,ready,
G09-S-TRIG-APP-01,G09-S-TRIG-RATIO-01;G08-S-PYTH-APP-01,ready,
G09-S-ARC-01,G06-S-ARC-01;G06-S-SECTORAREA-01,ready,
G09-S-ARCLEN-01,G06-S-CIRC-01;G09-S-ARC-01,ready,
G09-S-SECTOR-01,G06-S-SECTORAREA-01,ready,
G09-S-ARCSECTOR-APP-01,,ready,
G09-S-CENTERANGLE-01,G06-S-ARC-01;G04-S-ANGLECALC-01,ready,
G09-S-INSCRIBED-01,G09-S-CENTERANGLE-01;G08-S-ANGLE-REL-01,ready,
G09-S-DIAMETER-ANGLE-01,G09-S-INSCRIBED-01,ready,
G09-S-CYCLIC-01,G09-S-INSCRIBED-01;G08-S-POLY-INNER-01,ready,
G09-S-TANGENTSEG-01,G09-S-POINTCIRCLE-01,ready,
G09-S-POINTCIRCLE-01,G06-S-CIRC-01;G08-G-DIST-01,ready,
G09-S-LINECIRCLE-01,G09-S-POINTCIRCLE-01;G07-S-PERP-01,ready,
G09-S-TANGENT-01,G09-S-LINECIRCLE-01;G08-S-PYTH-01,ready,
G09-S-CHORDDIST-01,G09-S-TANGENT-01;G07-S-PERP-01,ready,
G09-S-CIRCLE-MIX-01,,ready,
G09-S-CIRCUMCENTER-01,G08-S-COMPASS-BISECT-01;G08-S-CONG-PROOF-01,ready,
G09-S-CIRCUMCENTER-02,G09-S-CIRCUMCENTER-01,ready,
G09-S-CIRCUMCENTER-03,G09-S-CIRCUMCENTER-01;G08-S-PYTH-01,ready,
G09-S-INCENTER-01,G08-S-COMPASS-BISECT-01;G08-S-CONG-PROOF-01,ready,
G09-S-INCENTER-02,G09-S-INCENTER-01;G07-S-PERP-01,ready,
G09-S-INCENTER-AREA-01,G09-S-INCENTER-02;G05-S-AREA-TRI-01,ready,
G09-S-INCENTER-RT-01,G09-S-INCENTER-AREA-01;G08-S-PYTH-01,ready,
G09-S-CENTROID-01,G08-S-CONG-PROOF-01,ready,
G09-S-CENTROID-RATIO-01,G09-S-CENTROID-01;G07-N-RATIO-01,ready,
G09-S-CENTROID-AREA-01,G09-S-CENTROID-01;G05-S-AREA-TRI-01,ready,
G09-S-CENTERS-COMPARE-01,G09-S-CIRCUMCENTER-01;G09-S-INCENTER-01;G09-S-CENTROID-01,ready,
G09-S-PROOF-MEAN-01,G08-S-PROOF-BASIC-01,ready,
G09-S-PROOF-GEO-01,G08-S-PROOF-BASIC-01;G09-S-SIM-AAA-01,ready,
G09-S-PROOF-ALG-01,G08-A-POLY-ID-01;G08-A-FACTOR-CHECK-01,ready,
G09-S-PROOF-COUNTER-01,G09-S-PROOF-MEAN-01,ready,
G09-S-SPACE-LINE-01,G07-S-THREEVIEW-02;G08-S-COMPASS-PERP-01,ready,
G09-S-SPACE-LINEPLANE-01,G09-S-SPACE-LINE-01,ready,
