publisher,semester,unit_no,unit_title,sub_no,subunit_title,source_url,structure_status,school_year_status
康軒,九上,1,相似形,1-1,連比例,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,1,相似形,1-2,比例線段,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,1,相似形,1-3,縮放與相似,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,1,相似形,1-4,相似三角形的應用,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,2,圓,2-1,點、直線與圓之間的位置關係,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,2,圓,2-2,圓心角、圓周角與弧的關係,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,3,幾何與證明,3-1,證明與推理,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九上,3,幾何與證明,3-2,三角形的外心、內心與重心,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九下,1,二次函數,1-1,二次函數的圖形與最大值、最小值,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九下,2,統計與機率,2-1,資料的分析,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九下,2,統計與機率,2-2,機率,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
康軒,九下,3,生活中的立體圖形,3-1,空間中的線、平面與形體,https://www.junyiacademy.org/topics/k-m9a,publisher_structure_verified,school_year_pending
翰林,九上,1,相似形與三角比,1-1,連比,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,1,相似形與三角比,1-2,比例線段,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,1,相似形與三角比,1-3,相似多邊形,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,2,圓形,2-1,點、線、圓,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,2,圓形,2-2,圓心角與圓周角,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,3,推理證明與三角形的心,3-1,推理證明,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九上,3,推理證明與三角形的心,3-2,三角形的外心、內心與重心,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,1,二次函數,1-1,基本二次函數圖形,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,1,二次函數,1-2,二次函數圖形與最大值、最小值,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,2,統計與機率,2-1,四分位數與盒狀圖,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,2,統計與機率,2-2,機率,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,3,立體圖形,3-1,角柱與圓柱,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
翰林,九下,3,立體圖形,3-2,角錐與圓錐,https://www.junyiacademy.org/topics/h-m9a,publisher_structure_verified,school_year_pending
南一,九上,1,比例線段與相似形,1-1,連比,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,1,比例線段與相似形,1-2,比例線段,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,1,比例線段與相似形,1-3,相似形,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,2,圓的性質,2-1,圓形及點、直線、圓之間的關係,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,2,圓的性質,2-2,弧與圓周角,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,3,推理證明與三角形的心,3-1,推理與證明,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九上,3,推理證明與三角形的心,3-2,三角形的外心、內心與重心,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九下,1,二次函數,1-1,二次函數及其圖形,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九下,1,二次函數,1-2,二次函數的最大值或最小值,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九下,2,統計與機率,2-1,統計數據的分布,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九下,2,統計與機率,2-2,機率,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
南一,九下,3,立體幾何圖形,3-1,柱體、椎體、空間中的線與平面,https://www.junyiacademy.org/topics/n-m9a,publisher_structure_verified,school_year_pending
