skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G01-N-COUNT-01,N-1-1,數概念,10以內的數,1到10聽讀寫做,連結數字、數詞與具體數量,1
G01-N-ZERO-01,N-1-1,數概念,10以內的數,0的意義,理解0表示沒有並能在數量與記錄中使用,1
G01-N-ORDER-01,N-1-1,數概念,數序與序數,10以內數序,順數、倒數與缺數,1
G01-N-ORDINAL-01,N-1-1,數概念,數序與序數,基數與序數,用第幾個描述位置並區分數量與順序,2
G01-N-CMP-01,N-1-1,數概念,數量比較,10以內多少比較,以一一對應比較兩量多少,1
G01-N-COMP-01,N-1-3,數概念,分與合,10以內數的合成,將數拆成兩部分或由兩部分合成,1
G01-N-20-01,N-1-1,數概念,30以內的數,11到20的數,理解十和一的組成並讀寫表示,2
G01-N-30-01,N-1-1,數概念,30以內的數,21到30的數,用十個一與個別的一表示30以內數,2
G01-N-GROUPCOUNT-01,N-1-1,數概念,30以內的數,2、5、10個一數,用分組點數提升計數效率,2
G01-N-100-01,N-1-1,數概念,100以內的數,100以內聽讀寫做,理解十進位分組與兩位數表示,2
G01-N-PLACE-01,N-1-1,數概念,100以內的數,個位與十位,理解兩位數中十位與個位的數量意義,2
G01-N-100ORDER-01,N-1-1,數概念,100以內的數,100以內數序比較,數序、缺數、大小比較與簡單數線,2
G01-N-ADD-MEAN-01,N-1-2 / R-1-1,加法,10以內加法,添加型加法,由增加情境建立加法意義與算式,1
G01-N-ADD-JOIN-01,N-1-2 / R-1-1,加法,10以內加法,併加型加法,由兩群合併建立加法意義,1
G01-N-ADD0-01,N-1-2,加法,10以內加法,含0的加法,理解加0或0加某數結果不變,1
G01-N-ADD-FLUENCY-01,N-1-3,加法,基本加法,10以內加法熟練,透過操作與策略熟練基本加法事實,2
G01-R-COMMUTE-01,R-1-2,加法,加法關係,交換相加順序,理解兩數交換相加位置後和不變,2
G01-N-SUB-TAKE-01,N-1-2 / R-1-1,減法,10以內減法,拿走型減法,由拿走情境建立減法與算式,1
G01-N-SUB-PART-01,N-1-2 / R-1-1,減法,10以內減法,分解型減法,由總量分成已知與未知部分理解減法,2
G01-N-SUB-CMP-01,N-1-2,減法,10以內減法,比較型減法,以一一對應理解相差多少,2
G01-N-SUB-FLUENCY-01,N-1-3,減法,基本減法,10以內減法熟練,由加法事實反向建立基本減法熟練度,2
G01-N-18ADD-01,N-1-3,加法,20以內加法,跨10加法,用湊十、拆數等操作策略計算18/20以內加法,3
G01-N-18SUB-01,N-1-3,減法,20以內減法,跨10減法,用拆十、回想加法等策略計算18/20以內減法,3
G01-N-2DIGADD-01,N-1-2,加減運算,兩位數加減,兩位數加一位數／整十數,以位值理解不進位的兩位數加法,2
G01-N-2DIGSUB-01,N-1-2,加減運算,兩位數加減,兩位數減一位數／整十數,以位值理解不退位的兩位數減法,2
G01-N-WORD-01,N-1-2 / R-1-1,加減應用,生活加減,選擇加法或減法,從情境判斷合成、添加、拿走、比較等關係,3
G01-R-EQUAL-01,R-1-1,算式與符號,等號,等號與算式讀法,理解等號表達兩邊數量相等而非『答案在後面』,2
G01-N-MONEY-01,N-1-4,錢幣,認識錢幣,1、5、10、50、100元,辨識幣值並建立幣值與數量的對應,1
G01-N-MONEY-02,N-1-4,錢幣,錢幣化聚,同值不同組合,用不同錢幣組合表示相同金額,2
G01-N-MONEY-03,N-1-4 / N-1-2,錢幣,生活購物,簡單付錢與找零,在100元內進行購物加減情境,3
G01-N-LEN-01,N-1-5 / S-1-1,長度,長短比較,直接比較,對齊端點直接比較兩物長短,1
G01-N-LEN-02,N-1-5 / S-1-1,長度,長短比較,間接比較,利用第三物或轉移方式比較無法並排的長度,2
G01-N-LEN-03,N-1-5 / S-1-1,長度,非標準單位,個別單位測量,以相同小物件重複排列表達長度,2
G01-N-TIME-01,N-1-6,時間,日常時間,事件先後與時間長短,使用早晚、先後、較久較短等日常時間語言,1
G01-N-CLOCK-01,N-1-6,時間,鐘面,整點,由時針、分針位置讀整點,1
G01-N-CLOCK-02,N-1-6,時間,鐘面,半點,由鐘面讀幾點半並與事件連結,2
G01-N-DATE-01,N-1-6,時間,日期,月日星期,從月曆讀取簡單日期與星期,2
G01-S-SOLID-01,S-1-2,形體,立體形體,平面與曲面特徵,從滾動、堆疊、觸摸辨識常見物體表面特徵,1
G01-S-SHAPE-01,S-1-2,形體,平面圖形,常見平面形狀辨識,辨認三角形、正方形、長方形、圓形,1
G01-S-TRACE-01,S-1-2,形體,形體操作,描繪與複製,沿物體面或給定圖形描繪、複製平面形,2
G01-S-PUZZLE-01,S-1-2,形體,形體操作,拼貼與堆疊,依圖示拼貼平面圖形或堆疊簡單立體形體,2
G01-S-MOVE-01,S-1-2,形體,形體操作,平移旋轉翻轉初步,透過實作找出形狀大小相同的圖形,2
G01-D-CLASS-01,D-1-1,資料,分類,依單一特徵分類,依顏色、形狀、用途等規則將物品分組,1
G01-D-CLASS-02,D-1-1,資料,分類,多種分類方式,理解同一批物品可依不同規則分類,2
G01-D-RECORD-01,D-1-1,資料,分類與紀錄,簡單記錄與報讀,以圖記、符號或簡單排列記錄並說明分類結果,2
