publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
康軒,一上,1,10以內的數,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,2,比長短,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,3,排順序、比多少,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,4,分與合,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,5,方盒、圓罐、球,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,6,30以內的數,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,7,10以內的加法,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,8,10以內的減法,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一上,9,幾點鐘,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,1,50以內的數,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,2,18以內的加法,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,3,圖形與分類,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,4,18以內的減法,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,5,有多長,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,6,100以內的數,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,7,認識錢幣,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,8,二位數的加減,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
康軒,一下,9,幾月幾日星期幾,https://www.junyiacademy.org/topics/k-m1a,publisher_structure_verified,school_year_pending
翰林,一上,1,10以內的數,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,2,比長短,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,3,順序與多少,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,4,分與合,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,5,認識形狀,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,6,10以內的加法,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,7,10以內的減法,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,8,30以內的數,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一上,9,時間,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,1,20以內的加法,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,2,長度,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,3,20以內的減法,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,4,100以內的數,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,5,形狀與形體,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,6,數數看有多少元,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,7,幾月幾日星期幾,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,8,兩位數的加減法,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
翰林,一下,9,分類整理,https://www.junyiacademy.org/topics/h-m1a,publisher_structure_verified,school_year_pending
南一,一上,1,數到10,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,2,比長短,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,3,分與合,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,4,順序和多少,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,5,數到30,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,6,加一加,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,7,認識形狀,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
南一,一上,8,減一減與加減應用,https://www.junyiacademy.org/topics/n-m1a,publisher_structure_verified,school_year_pending
