publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
康軒,三上,1,10000以內的數,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,2,四位數的加減,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,3,毫米,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,4,乘法,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,5,角,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,6,面積,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,7,除法,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,8,公升和毫升,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三上,9,分數,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,1,分數的加減,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,2,除法,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,3,尋找規律,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,4,公斤和公克,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,5,小數,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,6,圓,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,7,乘法與除法,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,8,時間,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
康軒,三下,9,統計表,https://www.junyiacademy.org/topics/k-m3a,publisher_structure_verified,school_year_pending
翰林,三上,1,10000以內的數,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,2,10000以內的加減,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,3,毫米與數線,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,4,乘法,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,5,角與形狀,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,6,除法,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,7,公斤與公克,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,8,分數,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三上,9,列表與規律,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,1,分數的加減,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,2,除法,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,3,尋找規律,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,4,公斤與公克,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,5,小數,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,6,圓,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,7,乘法與除法,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,8,時間,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
翰林,三下,9,統計表,https://www.junyiacademy.org/topics/h-m3a,publisher_structure_verified,school_year_pending
南一,三上,1,數到10000,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,2,四位數的加減,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,3,乘法,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,4,幾毫米,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,5,角、正方形和長方形,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,6,除法,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,7,公升和毫升,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,8,分數,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三上,9,圓,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,1,除法,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,2,公升和毫升,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,3,時間,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,4,兩步驟的計算,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,5,面積,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,6,公斤和公克,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,7,找規律,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,8,小數,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
南一,三下,9,統計表,https://www.junyiacademy.org/topics/n-m3a,publisher_structure_verified,school_year_pending
