skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,理解萬位與四位數組成,2
G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,做位值換算、缺位表示與數字分解,2
G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,利用最高位起逐位比較,2
G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,用1000/100/10/1元表徵數與化聚,2
G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,將人口、票價、數量等情境轉為數,3
G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,四位數直式加法並處理跨位進位,3
G03-N-SUB4-01,N-3-2,加減運算,四位數減法,直式與退位,四位數直式減法並處理跨位退位,3
G03-N-ADDSUB-APP-01,N-3-2,加減運算,四位數應用,加減文字題,從總量、差量、變化量判斷運算,3
G03-N-ADDSUB-UNK-01,N-3-2,加減運算,未知量,四位數加減缺項,利用互逆關係反推未知量,4
G03-N-MUL2X1-01,N-3-3,乘法,多位數乘一位數,二位數乘一位數,以直式與位值理解部分積,2
G03-N-MUL3X1-01,N-3-3,乘法,多位數乘一位數,三位數乘一位數,處理進位與含0乘法,3
G03-N-MUL-EST-01,N-3-3 / N-3-8,乘法,乘法估算,估算乘積,以接近整十/整百估算乘積合理性,3
G03-N-MUL-APP-01,N-3-6,乘法,乘法應用,倍數與總量,辨識一單位量、幾倍、總量,3
G03-N-DIV-MEAN-01,N-3-4,除法,除法概念,分裝與平分,把G2分裝平分轉為正式除法算式,2
G03-N-DIV-REM-01,N-3-4,除法,除法概念,有餘數除法,理解餘數小於除數及情境意義,3
G03-N-DIV2X1-01,N-3-5,除法,直式除法,二位數除一位數,理解商的位值與直式流程,3
G03-N-DIV3X1-01,N-3-5,除法,直式除法,三位數除一位數,含逐位分與退位重組,4
G03-N-DIV-ZERO-01,N-3-5,除法,特殊除法,商中含0,處理中間位不夠除、需補0的直式,4
G03-R-MULDIV-INV-01,R-3-1,乘除關係,互逆與驗算,乘除互逆,用乘法驗除法、由三數關係求未知,3
G03-N-DIV-APP-01,N-3-6,除法,除法應用,每份量與份數,辨認分裝型與平分型文字題,3
G03-N-2STEP-01,N-3-7,兩步驟,加減乘混合,先乘再加減,由情境找中間量並分步計算,4
