skill_id,prerequisites,graph_status
G03-N-10000-01,G02-N-1000-01;G02-N-PLACE-01,cross_grade_ready
G03-N-PLACE-01,G02-N-PLACE-01,cross_grade_ready
G03-N-ORDER-01,G02-N-ORDER-01,cross_grade_ready
G03-N-MONEY-01,G02-N-COIN-01,cross_grade_ready
G03-N-NUMAPP-01,,entry_skill
G03-N-ADD4-01,G02-N-ADD-CARRY2-01;G03-N-PLACE-01,cross_grade_ready
G03-N-SUB4-01,G02-N-SUB-BORROW-01;G03-N-PLACE-01,cross_grade_ready
G03-N-ADDSUB-APP-01,,entry_skill
G03-N-ADDSUB-UNK-01,G02-R-INVERSE-01;G03-N-ADD4-01;G03-N-SUB4-01,cross_grade_ready
G03-N-MUL2X1-01,G02-N-MUL-TABLE-01;G02-R-MULCOMM-01,cross_grade_ready
G03-N-MUL3X1-01,G03-N-MUL2X1-01;G03-N-PLACE-01,internal_ready
G03-N-MUL-EST-01,,entry_skill
G03-N-MUL-APP-01,,entry_skill
G03-N-DIV-MEAN-01,G02-N-SHARE-01;G02-N-GROUP-01;G02-N-MUL-TABLE-01,cross_grade_ready
G03-N-DIV-REM-01,G03-N-DIV-MEAN-01,internal_ready
G03-N-DIV2X1-01,G03-N-DIV-MEAN-01;G02-N-MUL-TABLE-01,cross_grade_ready
G03-N-DIV3X1-01,G03-N-DIV2X1-01;G03-N-PLACE-01,internal_ready
G03-N-DIV-ZERO-01,,entry_skill
G03-R-MULDIV-INV-01,G02-N-SHARE-REL-01;G03-N-DIV2X1-01,cross_grade_ready
G03-N-DIV-APP-01,,entry_skill
G03-N-2STEP-01,G02-N-MULADD-01;G02-N-MULSUB-01,cross_grade_ready
G03-N-2STEP-02,,entry_skill
G03-N-2STEP-03,,entry_skill
G03-N-EST-4OPS-01,,entry_skill
G03-N-FRAC-BASIC-01,G02-N-FRAC-UNIT-02,cross_grade_ready
G03-N-FRAC-ONE-01,,entry_skill
G03-N-FRAC-CMP-01,G02-N-FRAC-CMP-01;G03-N-FRAC-BASIC-01,cross_grade_ready
G03-N-FRAC-ADD-01,G03-N-FRAC-BASIC-01,internal_ready
G03-N-FRAC-SUB-01,,entry_skill
G03-N-FRAC-NUMBERLINE-01,,entry_skill
G03-N-DEC-01,G02-N-FRAC-UNIT-01;G02-N-CM-01,cross_grade_ready
G03-N-DEC-PLACE-01,,entry_skill
G03-N-DEC-CMP-01,,entry_skill
G03-N-DEC-ADD-01,,entry_skill
G03-N-DEC-SUB-01,,entry_skill
G03-N-DEC-NUMBERLINE-01,,entry_skill
G03-N-NUMBERLINE-01,G02-N-ORDER-01,cross_grade_ready
G03-N-MM-01,G02-N-CM-01;G02-N-RULER-01,cross_grade_ready
G03-N-MM-CONV-01,,entry_skill
G03-N-MM-OPS-01,,entry_skill
G03-S-ANGLE-01,G02-S-FEATURE-01,cross_grade_ready
G03-S-RIGHT-01,,entry_skill
G03-S-ACUTEOBTUSE-01,,entry_skill
G03-S-RECT-01,G02-S-SPECIAL-01,cross_grade_ready
G03-S-PERIM-01,G02-S-PERIM-01,cross_grade_ready
G03-N-CM2-01,G02-S-AREA-02,cross_grade_ready
G03-N-CM2-COUNT-01,,entry_skill
G03-N-CM2-MUL-01,,entry_skill
G03-S-AREA-CUT-01,,entry_skill
G03-N-L-01,G02-N-CAP-01,cross_grade_ready
G03-N-L-CONV-01,,entry_skill
G03-N-L-OPS-01,,entry_skill
G03-N-KG-01,G02-N-WEIGHT-01,cross_grade_ready
G03-N-KG-CONV-01,,entry_skill
G03-N-KG-OPS-01,,entry_skill
G03-N-TIME24-01,G02-N-CLOCK-01;G02-N-CALENDAR-01,cross_grade_ready
G03-N-TIMEUNIT-01,,entry_skill
G03-N-TIMECALC-01,,entry_skill
G03-N-ELAPSED-01,,entry_skill
G03-S-CIRCLE-01,G02-S-FEATURE-01,cross_grade_ready
G03-S-COMPASS-01,,entry_skill
G03-S-OPERATE-01,,entry_skill
G03-R-PATTERN-01,G02-R-ADDORDER-01,cross_grade_ready
G03-R-PATTERN-02,,entry_skill
G03-R-PATTERN-03,,entry_skill
G03-D-1WAY-01,G02-D-TABLE-01;G02-D-READ-01,cross_grade_ready
G03-D-2WAY-01,,entry_skill
G03-D-TABLE-APP-01,,entry_skill
